Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Gl-26_S6.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.035603026257231864)	(107, 0.04450378282153983)	(112, 0.04450378282153983)	(117, 0.04450378282153983)	(122, 0.04450378282153983)	(127, 0.04450378282153983)	(132, 0.04450378282153983)	(137, 0.04450378282153983)	(142, 0.04450378282153983)	(147, 0.04450378282153983)	(152, 0.04450378282153983)	(157, 0.04450378282153983)	(162, 0.04450378282153983)	(167, 0.04450378282153983)	(172, 0.04450378282153983)	(177, 0.04450378282153983)	(182, 0.04450378282153983)	(187, 0.04450378282153983)	(192, 0.04450378282153983)	(197, 0.04450378282153983)	(202, 0.04450378282153983)	(207, 0.04450378282153983)	(212, 0.04450378282153983)	(217, 0.04450378282153983)	(222, 0.04450378282153983)	(227, 0.04450378282153983)	(232, 0.08010680907877168)	(237, 0.13351134846461948)	(242, 0.13351134846461948)	(247, 0.13351134846461948)	(252, 0.13351134846461948)	(257, 0.13351134846461948)	(262, 0.13351134846461948)	(267, 0.13351134846461948)	(272, 0.13351134846461948)	(277, 0.16021361815754337)	(282, 0.6942590120160214)	(287, 1.1481975967957276)	(290, 1.1570983533600356)
Gl-26_S6.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.017801513128615932)	(172, 0.04450378282153983)	(177, 0.04450378282153983)	(182, 0.04450378282153983)	(187, 0.04450378282153983)	(192, 0.04450378282153983)	(197, 0.04450378282153983)	(202, 0.04450378282153983)	(207, 0.04450378282153983)	(212, 0.04450378282153983)	(217, 0.12461059190031151)	(222, 0.13351134846461948)	(227, 0.13351134846461948)	(232, 0.13351134846461948)	(237, 0.13351134846461948)	(242, 0.13351134846461948)	(247, 0.13351134846461948)	(252, 0.13351134846461948)	(257, 0.13351134846461948)	(262, 0.13351134846461948)	(267, 0.13351134846461948)	(272, 0.13351134846461948)	(277, 0.13351134846461948)	(282, 0.13351134846461948)	(287, 0.13351134846461948)	(290, 0.13351134846461948)
Gl-26_S6.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.017801513128615932)	(137, 0.04450378282153983)	(142, 0.04450378282153983)	(147, 0.04450378282153983)	(152, 0.04450378282153983)	(157, 0.04450378282153983)	(162, 0.04450378282153983)	(167, 0.04450378282153983)	(172, 0.04450378282153983)	(177, 0.04450378282153983)	(182, 0.04450378282153983)	(187, 0.04450378282153983)	(192, 0.04450378282153983)	(197, 0.04450378282153983)	(202, 0.04450378282153983)	(207, 0.04450378282153983)	(212, 0.04450378282153983)	(217, 0.04450378282153983)	(222, 0.04450378282153983)	(227, 0.04450378282153983)	(232, 0.04450378282153983)	(237, 0.07120605251446373)	(242, 0.13351134846461948)	(247, 0.1780151312861593)	(252, 0.1780151312861593)	(257, 0.1780151312861593)	(262, 0.1780151312861593)	(267, 0.1780151312861593)	(272, 0.1780151312861593)	(277, 0.1780151312861593)	(282, 0.19581664441477525)	(287, 0.39163328882955045)	(290, 0.40053404539385845)
Gl-27_S7.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.02960039467192896)	(57, 0.0493339911198816)	(62, 0.0493339911198816)	(67, 0.0493339911198816)	(72, 0.0493339911198816)	(77, 0.0493339911198816)	(82, 0.0493339911198816)	(87, 0.0493339911198816)	(92, 0.0493339911198816)	(97, 0.0493339911198816)	(102, 0.0493339911198816)	(107, 0.0493339911198816)	(112, 0.0493339911198816)	(117, 0.0493339911198816)	(122, 0.0493339911198816)	(127, 0.0493339911198816)	(132, 0.0493339911198816)	(137, 0.0493339911198816)	(142, 0.0493339911198816)	(147, 0.0493339911198816)	(152, 0.0493339911198816)	(157, 0.0493339911198816)	(162, 0.0493339911198816)	(167, 0.0493339911198816)	(172, 0.0493339911198816)	(177, 0.0493339911198816)	(182, 0.0493339911198816)	(187, 0.0493339911198816)	(192, 0.0493339911198816)	(197, 0.0493339911198816)	(202, 0.0493339911198816)	(207, 0.0493339911198816)	(212, 0.0493339911198816)	(217, 0.0493339911198816)	(222, 0.0493339911198816)	(227, 0.0493339911198816)	(232, 0.12826837691169216)	(237, 0.1973359644795264)	(242, 0.1973359644795264)	(247, 0.1973359644795264)	(252, 0.1973359644795264)	(257, 0.1973359644795264)	(262, 0.1973359644795264)	(267, 0.1973359644795264)	(272, 0.1973359644795264)	(277, 0.1973359644795264)	(282, 0.1973359644795264)	(287, 0.1973359644795264)	(290, 0.1973359644795264)
Gl-27_S7.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.05920078934385792)	(172, 0.1480019733596448)	(177, 0.1480019733596448)	(182, 0.1480019733596448)	(187, 0.1480019733596448)	(192, 0.1480019733596448)	(197, 0.1480019733596448)	(202, 0.1480019733596448)	(207, 0.1480019733596448)	(212, 0.1480019733596448)	(217, 0.1480019733596448)	(222, 0.1480019733596448)	(227, 0.1480019733596448)	(232, 0.1480019733596448)	(237, 0.1480019733596448)	(242, 0.1480019733596448)	(247, 0.1480019733596448)	(252, 0.1480019733596448)	(257, 0.1480019733596448)	(262, 0.1480019733596448)	(267, 0.1480019733596448)	(272, 0.1480019733596448)	(277, 0.1480019733596448)	(282, 0.1480019733596448)	(287, 0.1480019733596448)	(290, 0.1480019733596448)
Gl-27_S7.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.03946719289590528)	(132, 0.0493339911198816)	(137, 0.0493339911198816)	(142, 0.0493339911198816)	(147, 0.0493339911198816)	(152, 0.0493339911198816)	(157, 0.0493339911198816)	(162, 0.0493339911198816)	(167, 0.0493339911198816)	(172, 0.0493339911198816)	(177, 0.0493339911198816)	(182, 0.0493339911198816)	(187, 0.0493339911198816)	(192, 0.0493339911198816)	(197, 0.0493339911198816)	(202, 0.0493339911198816)	(207, 0.0493339911198816)	(212, 0.0493339911198816)	(217, 0.0493339911198816)	(222, 0.0493339911198816)	(227, 0.0493339911198816)	(232, 0.0493339911198816)	(237, 0.07893438579181056)	(242, 0.0986679822397632)	(247, 0.1480019733596448)	(252, 0.1480019733596448)	(257, 0.1480019733596448)	(262, 0.1480019733596448)	(267, 0.1480019733596448)	(272, 0.1480019733596448)	(277, 0.1480019733596448)	(282, 0.1480019733596448)	(287, 0.1480019733596448)	(290, 0.1480019733596448)
Gl-28_S8.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0704225352112676)	(237, 0.16005121638924455)	(242, 0.16005121638924455)	(247, 0.16005121638924455)	(252, 0.16005121638924455)	(257, 0.16005121638924455)	(262, 0.16005121638924455)	(267, 0.16005121638924455)	(272, 0.16005121638924455)	(277, 0.16005121638924455)	(282, 0.16005121638924455)	(287, 0.2432778489116517)	(290, 0.2560819462227913)
Gl-28_S8.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0384122919334187)	(172, 0.09603072983354674)	(177, 0.09603072983354674)	(182, 0.09603072983354674)	(187, 0.09603072983354674)	(192, 0.09603072983354674)	(197, 0.09603072983354674)	(202, 0.09603072983354674)	(207, 0.09603072983354674)	(212, 0.09603072983354674)	(217, 0.09603072983354674)	(222, 0.09603072983354674)	(227, 0.12163892445582584)	(232, 0.12804097311139565)	(237, 0.12804097311139565)	(242, 0.12804097311139565)	(247, 0.12804097311139565)	(252, 0.12804097311139565)	(257, 0.12804097311139565)	(262, 0.12804097311139565)	(267, 0.12804097311139565)	(272, 0.12804097311139565)	(277, 0.12804097311139565)	(282, 0.12804097311139565)	(287, 0.12804097311139565)	(290, 0.12804097311139565)
Gl-28_S8.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.03201024327784891)	(22, 0.03201024327784891)	(27, 0.03201024327784891)	(32, 0.03201024327784891)	(37, 0.03201024327784891)	(42, 0.03201024327784891)	(47, 0.03201024327784891)	(52, 0.03201024327784891)	(57, 0.03201024327784891)	(62, 0.03201024327784891)	(67, 0.03201024327784891)	(72, 0.03201024327784891)	(77, 0.03201024327784891)	(82, 0.03201024327784891)	(87, 0.03201024327784891)	(92, 0.03201024327784891)	(97, 0.03201024327784891)	(102, 0.03201024327784891)	(107, 0.03201024327784891)	(112, 0.03201024327784891)	(117, 0.03201024327784891)	(122, 0.03201024327784891)	(127, 0.03201024327784891)	(132, 0.03201024327784891)	(137, 0.03201024327784891)	(142, 0.03201024327784891)	(147, 0.03201024327784891)	(152, 0.03201024327784891)	(157, 0.03201024327784891)	(162, 0.03201024327784891)	(167, 0.03201024327784891)	(172, 0.03201024327784891)	(177, 0.03201024327784891)	(182, 0.03201024327784891)	(187, 0.03201024327784891)	(192, 0.03201024327784891)	(197, 0.03201024327784891)	(202, 0.03201024327784891)	(207, 0.03201024327784891)	(212, 0.0384122919334187)	(217, 0.06402048655569782)	(222, 0.06402048655569782)	(227, 0.06402048655569782)	(232, 0.0704225352112676)	(237, 0.16645326504481434)	(242, 0.22407170294494239)	(247, 0.22407170294494239)	(252, 0.22407170294494239)	(257, 0.22407170294494239)	(262, 0.22407170294494239)	(267, 0.22407170294494239)	(272, 0.22407170294494239)	(277, 0.22407170294494239)	(282, 0.22407170294494239)	(287, 0.22407170294494239)	(290, 0.22407170294494239)
Gl-29_S9.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.031185031185031187)	(117, 0.05197505197505198)	(122, 0.05197505197505198)	(127, 0.05197505197505198)	(132, 0.05197505197505198)	(137, 0.05197505197505198)	(142, 0.05197505197505198)	(147, 0.05197505197505198)	(152, 0.05197505197505198)	(157, 0.05197505197505198)	(162, 0.05197505197505198)	(167, 0.05197505197505198)	(172, 0.05197505197505198)	(177, 0.05197505197505198)	(182, 0.05197505197505198)	(187, 0.09355509355509356)	(192, 0.10395010395010396)	(197, 0.10395010395010396)	(202, 0.10395010395010396)	(207, 0.10395010395010396)	(212, 0.10395010395010396)	(217, 0.10395010395010396)	(222, 0.10395010395010396)	(227, 0.10395010395010396)	(232, 0.11434511434511437)	(237, 0.15592515592515593)	(242, 0.15592515592515593)	(247, 0.15592515592515593)	(252, 0.15592515592515593)	(257, 0.15592515592515593)	(262, 0.15592515592515593)	(267, 0.15592515592515593)	(272, 0.15592515592515593)	(277, 0.15592515592515593)	(282, 0.2598752598752599)	(287, 0.39501039501039503)	(290, 0.4158004158004158)
Gl-29_S9.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.08316008316008316)	(172, 0.15592515592515593)	(177, 0.15592515592515593)	(182, 0.15592515592515593)	(187, 0.15592515592515593)	(192, 0.15592515592515593)	(197, 0.15592515592515593)	(202, 0.15592515592515593)	(207, 0.15592515592515593)	(212, 0.17671517671517672)	(217, 0.3014553014553015)	(222, 0.31185031185031187)	(227, 0.31185031185031187)	(232, 0.31185031185031187)	(237, 0.31185031185031187)	(242, 0.31185031185031187)	(247, 0.31185031185031187)	(252, 0.31185031185031187)	(257, 0.31185031185031187)	(262, 0.31185031185031187)	(267, 0.31185031185031187)	(272, 0.31185031185031187)	(277, 0.31185031185031187)	(282, 0.31185031185031187)	(287, 0.31185031185031187)	(290, 0.31185031185031187)
Gl-29_S9.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.04158004158004158)	(152, 0.05197505197505198)	(157, 0.05197505197505198)	(162, 0.05197505197505198)	(167, 0.05197505197505198)	(172, 0.05197505197505198)	(177, 0.05197505197505198)	(182, 0.05197505197505198)	(187, 0.05197505197505198)	(192, 0.05197505197505198)	(197, 0.05197505197505198)	(202, 0.05197505197505198)	(207, 0.05197505197505198)	(212, 0.05197505197505198)	(217, 0.05197505197505198)	(222, 0.05197505197505198)	(227, 0.05197505197505198)	(232, 0.07276507276507277)	(237, 0.16632016632016633)	(242, 0.31185031185031187)	(247, 0.3430353430353431)	(252, 0.36382536382536385)	(257, 0.36382536382536385)	(262, 0.36382536382536385)	(267, 0.36382536382536385)	(272, 0.36382536382536385)	(277, 0.36382536382536385)	(282, 0.36382536382536385)	(287, 0.48856548856548854)	(290, 0.5197505197505198)
Gl-30_S10.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0258732212160414)	(237, 0.129366106080207)	(242, 0.129366106080207)	(247, 0.129366106080207)	(252, 0.129366106080207)	(257, 0.129366106080207)	(262, 0.129366106080207)	(267, 0.129366106080207)	(272, 0.129366106080207)	(277, 0.129366106080207)	(282, 0.1681759379042691)	(287, 0.19404915912031048)	(290, 0.19404915912031048)
Gl-30_S10.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0517464424320828)	(172, 0.129366106080207)	(177, 0.129366106080207)	(182, 0.129366106080207)	(187, 0.129366106080207)	(192, 0.129366106080207)	(197, 0.129366106080207)	(202, 0.129366106080207)	(207, 0.129366106080207)	(212, 0.129366106080207)	(217, 0.129366106080207)	(222, 0.129366106080207)	(227, 0.129366106080207)	(232, 0.129366106080207)	(237, 0.129366106080207)	(242, 0.129366106080207)	(247, 0.129366106080207)	(252, 0.129366106080207)	(257, 0.129366106080207)	(262, 0.129366106080207)	(267, 0.129366106080207)	(272, 0.129366106080207)	(277, 0.129366106080207)	(282, 0.1811125485122898)	(287, 0.19404915912031048)	(290, 0.19404915912031048)
Gl-30_S10.R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.1034928848641656)	(97, 0.129366106080207)	(102, 0.129366106080207)	(107, 0.129366106080207)	(112, 0.129366106080207)	(117, 0.129366106080207)	(122, 0.129366106080207)	(127, 0.129366106080207)	(132, 0.129366106080207)	(137, 0.129366106080207)	(142, 0.129366106080207)	(147, 0.129366106080207)	(152, 0.129366106080207)	(157, 0.129366106080207)	(162, 0.129366106080207)	(167, 0.129366106080207)	(172, 0.1423027166882277)	(177, 0.19404915912031048)	(182, 0.19404915912031048)	(187, 0.19404915912031048)	(192, 0.19404915912031048)	(197, 0.19404915912031048)	(202, 0.19404915912031048)	(207, 0.19404915912031048)	(212, 0.19404915912031048)	(217, 0.19404915912031048)	(222, 0.23285899094437257)	(227, 0.258732212160414)	(232, 0.29754204398447603)	(237, 0.4398447606727037)	(242, 0.5821474773609314)	(247, 0.5821474773609314)	(252, 0.5821474773609314)	(257, 0.5821474773609314)	(262, 0.5821474773609314)	(267, 0.5821474773609314)	(272, 0.5821474773609314)	(277, 0.5821474773609314)	(282, 0.5821474773609314)	(287, 0.5821474773609314)	(290, 0.5821474773609314)
Gl-31_S11.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.018334206390780514)	(237, 0.05238344683080147)	(242, 0.05238344683080147)	(247, 0.05238344683080147)	(252, 0.05238344683080147)	(257, 0.05238344683080147)	(262, 0.05238344683080147)	(267, 0.05238344683080147)	(272, 0.05238344683080147)	(277, 0.05238344683080147)	(282, 0.05238344683080147)	(287, 0.14929282346778416)	(290, 0.1571503404924044)
Gl-32_S12.R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.0)	(222, 0.0)	(227, 0.0)	(232, 0.0)	(237, 0.0)	(242, 0.0)	(247, 0.0)	(252, 0.0)	(257, 0.0)	(262, 0.0)	(267, 0.0)	(272, 0.0)	(277, 0.007254261878853826)	(282, 1.088139281828074)	(287, 2.2270583968081246)	(290, 2.2488211824446864)
Gl-32_S12.R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(152, 0.0)	(157, 0.0)	(162, 0.0)	(167, 0.0)	(172, 0.0)	(177, 0.0)	(182, 0.0)	(187, 0.0)	(192, 0.0)	(197, 0.0)	(202, 0.0)	(207, 0.0)	(212, 0.0)	(217, 0.12332245194051505)	(222, 0.14508523757707653)	(227, 0.14508523757707653)	(232, 0.14508523757707653)	(237, 0.14508523757707653)	(242, 0.14508523757707653)	(247, 0.14508523757707653)	(252, 0.14508523757707653)	(257, 0.14508523757707653)	(262, 0.14508523757707653)	(267, 0.14508523757707653)	(272, 0.14508523757707653)	(277, 0.14508523757707653)	(282, 0.14508523757707653)	(287, 0.14508523757707653)	(290, 0.14508523757707653)
