Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Gl-32_S12.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.16390999850990925)	(26.0, 0.5066309044851741)	(27.0, 1.2665772612129356)	(28.0, 2.2723886157055593)	(29.0, 2.019073163462972)	(30.0, 1.6689018030099854)	(31.0, 8.493518104604366)	(32.0, 6.556399940396375)	(33.0, 0.9462077186708402)	(34.0, 0.7077931753836989)	(35.0, 0.4395768141856658)	(36.0, 1.4230368052451214)	(37.0, 2.7268663388466723)	(38.0, 1.6614513485322624)	(39.0, 1.1846222619579807)	(40.0, 4.4032185963343835)	(41.0, 1.2218745343465964)	(42.0, 0.9164059007599473)	(43.0, 5.260020861272553)	(44.0, 10.698852630010405)	(45.0, 9.313068097153925)	(46.0, 10.438086723290123)	(47.0, 4.418119505289831)	(48.0, 5.9603635821785295)	(49.0, 2.3841454328714056)	(50.0, 1.2367754433020433)	(51.0, 1.6167486216659235)	(52.0, 1.1995231709134275)	(53.0, 1.2889286246461051)	(54.0, 1.996721800029803)	(55.0, 1.8253613470421715)	(56.0, 1.4602890776337374)	(57.0, 0.9015049918045013)	(58.0, 0.5140813589628973)	(59.0, 0.3427209059752649)	(60.0, 0.11175681716584723)	(61.0, 0.11920727164357037)	(62.0, 0.022351363433169447)	(63.0, 0.044702726866338895)	(64.0, 0.044702726866338895)	(65.0, 0.05215318134406203)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.022351363433169447)	(72.0, 0.022351363433169447)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.05215318134406203)	(79.0, 0.029801817910892592)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.022351363433169447)	(84.0, 0.022351363433169447)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-33_S13.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.09345794392523366)	(23.0, 0.09345794392523366)	(24.0, 0.0)	(25.0, 0.38940809968847345)	(26.0, 3.722741433021806)	(27.0, 17.881619937694698)	(28.0, 21.806853582554506)	(29.0, 12.6791277258567)	(30.0, 3.1152647975077894)	(31.0, 0.9345794392523362)	(32.0, 0.9034267912772586)	(33.0, 0.46728971962616817)	(34.0, 0.4205607476635514)	(35.0, 0.6853582554517135)	(36.0, 0.8878504672897197)	(37.0, 2.663551401869159)	(38.0, 2.414330218068536)	(39.0, 1.9626168224299065)	(40.0, 3.3489096573208728)	(41.0, 1.1059190031152648)	(42.0, 0.4828660436137072)	(43.0, 0.10903426791277257)	(44.0, 0.6697819314641745)	(45.0, 0.7476635514018692)	(46.0, 0.3426791277258567)	(47.0, 0.7320872274143303)	(48.0, 1.1682242990654204)	(49.0, 0.6697819314641745)	(50.0, 0.9968847352024922)	(51.0, 1.4330218068535823)	(52.0, 2.1651090342679127)	(53.0, 2.5389408099688473)	(54.0, 2.8348909657320873)	(55.0, 2.554517133956386)	(56.0, 2.5077881619937696)	(57.0, 2.2741433021806854)	(58.0, 1.308411214953271)	(59.0, 0.46728971962616817)	(60.0, 0.14018691588785046)	(61.0, 0.09345794392523366)	(62.0, 0.09345794392523366)	(63.0, 0.0)	(64.0, 0.09345794392523366)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-33_S13.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0553403431101273)	(18.0, 0.0)	(19.0, 0.041505257332595476)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.1660210293303819)	(25.0, 1.3281682346430552)	(26.0, 4.842280022136138)	(27.0, 12.340896513558391)	(28.0, 17.432208079690056)	(29.0, 13.724405091311558)	(30.0, 7.470946319867193)	(31.0, 5.741560597675703)	(32.0, 2.850027670171557)	(33.0, 0.7332595462091868)	(34.0, 0.4427227448810184)	(35.0, 0.31820697288323196)	(36.0, 0.8854454897620369)	(37.0, 1.4665190924183735)	(38.0, 0.9684560044272277)	(39.0, 1.1344770337576093)	(40.0, 1.701715550636414)	(41.0, 0.7194244604316549)	(42.0, 0.35971223021582743)	(43.0, 0.6640841173215276)	(44.0, 0.7885998893193141)	(45.0, 0.6502490315439958)	(46.0, 0.48422800221361384)	(47.0, 1.079136690647482)	(48.0, 1.853901494189265)	(49.0, 1.0237963475373548)	(50.0, 1.2589928057553956)	(51.0, 1.5495296070835645)	(52.0, 1.660210293303819)	(53.0, 2.2827891532927516)	(54.0, 2.6286662977310473)	(55.0, 2.4211400110680703)	(56.0, 2.3381294964028796)	(57.0, 1.909241837299392)	(58.0, 1.231322634200332)	(59.0, 0.7470946319867185)	(60.0, 0.29053680132816834)	(61.0, 0.12451577199778642)	(62.0, 0.1660210293303819)	(63.0, 0.08301051466519095)	(64.0, 0.041505257332595476)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-34_S14.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.09346667912889055)	(22.0, 0.07477334330311244)	(23.0, 0.1495466866062249)	(24.0, 0.27105336947378267)	(25.0, 0.30844004112533885)	(26.0, 1.8506402467520329)	(27.0, 11.169268155902422)	(28.0, 13.97326852976913)	(29.0, 8.33722777829704)	(30.0, 2.598373679783156)	(31.0, 5.150014020001875)	(32.0, 5.084587344611653)	(33.0, 1.5235068698009164)	(34.0, 6.084680811290788)	(35.0, 1.7945602392746995)	(36.0, 1.177680157024021)	(37.0, 2.2058136274418176)	(38.0, 1.4206935227591366)	(39.0, 0.663613421815123)	(40.0, 3.7760538368071748)	(41.0, 3.2713337695111657)	(42.0, 0.23366669782222635)	(43.0, 0.31778670903822787)	(44.0, 3.215253762033834)	(45.0, 3.4208804561173936)	(46.0, 5.69212075894944)	(47.0, 2.7479203663893803)	(48.0, 1.2804935040658005)	(49.0, 1.2898401719786896)	(50.0, 1.7291335638844756)	(51.0, 1.8132535751004775)	(52.0, 1.149640153285354)	(53.0, 1.0187868025049072)	(54.0, 1.0561734741564632)	(55.0, 0.9533601271146837)	(56.0, 0.6262267501635668)	(57.0, 0.6729600897280119)	(58.0, 0.682306757640901)	(59.0, 0.49537339938311997)	(60.0, 0.34582671277689503)	(61.0, 0.13085335078044677)	(62.0, 0.0841200112160015)	(63.0, 0.06542667539022338)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-34_S14.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.08443806467955753)	(20.0, 0.059106645275690275)	(21.0, 0.033775225871823016)	(22.0, 0.14354470995524782)	(23.0, 0.12665709701933628)	(24.0, 0.2786456134425399)	(25.0, 0.4728531622055222)	(26.0, 3.0988769737397606)	(27.0, 8.055391370429787)	(28.0, 11.356919699400455)	(29.0, 9.169973824199932)	(30.0, 5.556024655914897)	(31.0, 6.543950012665727)	(32.0, 6.704382335556884)	(33.0, 1.17368909904585)	(34.0, 4.829857299670697)	(35.0, 1.7563117453347974)	(36.0, 1.300346196065186)	(37.0, 1.3510090348729207)	(38.0, 0.5995102592248585)	(39.0, 0.8021616144557964)	(40.0, 2.9722198767204224)	(41.0, 2.9384446508485995)	(42.0, 0.8106054209237521)	(43.0, 1.9505192940977787)	(44.0, 3.9770328464071607)	(45.0, 2.938444650848601)	(46.0, 3.8588195558557796)	(47.0, 4.179684201638099)	(48.0, 1.8660812294182219)	(49.0, 0.9372625179430888)	(50.0, 1.131470066706071)	(51.0, 1.275014776661319)	(52.0, 1.0217005826226464)	(53.0, 1.3510090348729211)	(54.0, 1.2834585831292749)	(55.0, 1.0048129696867347)	(56.0, 0.8697120661994425)	(57.0, 0.4644093557375664)	(58.0, 0.5572912268850797)	(59.0, 0.33775225871823017)	(60.0, 0.3715274845900532)	(61.0, 0.13510090348729206)	(62.0, 0.1097694840834248)	(63.0, 0.08443806467955753)	(64.0, 0.05066283880773452)	(65.0, 0.02533141940386726)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-36_S15.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.03810975609756098)	(23.0, 0.12703252032520326)	(24.0, 0.05081300813008131)	(25.0, 0.0)	(26.0, 2.0579268292682933)	(27.0, 12.957317073170731)	(28.0, 15.637703252032518)	(29.0, 8.193597560975615)	(30.0, 2.134146341463416)	(31.0, 2.172256097560977)	(32.0, 2.0960365853658547)	(33.0, 0.9908536585365852)	(34.0, 0.5970528455284554)	(35.0, 0.3429878048780488)	(36.0, 2.7947154471544717)	(37.0, 4.738313008130082)	(38.0, 4.204776422764229)	(39.0, 4.077743902439025)	(40.0, 6.338922764227643)	(41.0, 1.765752032520326)	(42.0, 0.660569105691057)	(43.0, 0.7113821138211383)	(44.0, 2.4009146341463428)	(45.0, 2.007113821138212)	(46.0, 0.3683943089430895)	(47.0, 0.8003048780487807)	(48.0, 2.1341463414634156)	(49.0, 1.2322154471544717)	(50.0, 5.360772357723577)	(51.0, 4.712906504065041)	(52.0, 2.1849593495934974)	(53.0, 2.426321138211383)	(54.0, 1.6260162601626018)	(55.0, 0.5335365853658538)	(56.0, 0.44461382113821146)	(57.0, 0.47002032520325215)	(58.0, 0.3429878048780488)	(59.0, 0.11432926829268295)	(60.0, 0.03810975609756098)	(61.0, 0.03810975609756098)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.03810975609756098)	(73.0, 0.03810975609756098)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-36_S15.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.07586431126043132)	(23.0, 0.043351035005960756)	(24.0, 0.03251327625447056)	(25.0, 0.6394277663379212)	(26.0, 2.796141757884469)	(27.0, 7.499729056031214)	(28.0, 11.162891514034882)	(29.0, 9.927387016365016)	(30.0, 6.448466457136671)	(31.0, 7.087894223474597)	(32.0, 5.483905928254039)	(33.0, 1.5606372602145877)	(34.0, 0.9970738051370972)	(35.0, 0.44434810881109776)	(36.0, 1.0729381163975287)	(37.0, 2.0266608865286657)	(38.0, 1.766554676492901)	(39.0, 2.709439687872547)	(40.0, 3.5656226292402713)	(41.0, 1.1271269101549797)	(42.0, 0.8236696651132543)	(43.0, 0.9537227701311364)	(44.0, 2.698601929121056)	(45.0, 1.538961742711607)	(46.0, 0.6177522488349408)	(47.0, 2.080849680286118)	(48.0, 5.7548498970412965)	(49.0, 1.9724720927712152)	(50.0, 2.514360030345724)	(51.0, 3.067085726671723)	(52.0, 3.8907553917849733)	(53.0, 4.053321773057326)	(54.0, 1.0295870813915677)	(55.0, 0.7911563888587837)	(56.0, 0.693616560095372)	(57.0, 0.3576460387991762)	(58.0, 0.24926845128427433)	(59.0, 0.21675517502980374)	(60.0, 0.06502655250894113)	(61.0, 0.03251327625447056)	(62.0, 0.03251327625447056)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.03251327625447056)	(68.0, 0.03251327625447056)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.03251327625447056)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-38_S16.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0470520105686054)	(24.0, 0.061529552282022434)	(25.0, 0.03981323971189687)	(26.0, 0.63701183539035)	(27.0, 4.849976473994709)	(28.0, 5.675196351659481)	(29.0, 3.6121466574975516)	(30.0, 0.7781678670961663)	(31.0, 0.524810887111368)	(32.0, 0.9374208259437534)	(33.0, 0.5103333453979509)	(34.0, 0.22078251112960992)	(35.0, 0.1302978754207534)	(36.0, 0.13753664627746193)	(37.0, 0.2967896051250494)	(38.0, 2.52271164356292)	(39.0, 4.488037931159284)	(40.0, 1.038763617937673)	(41.0, 0.44880379311592855)	(42.0, 0.6442506062470589)	(43.0, 0.14477541713417047)	(44.0, 0.11582033370733635)	(45.0, 0.14839480256252474)	(46.0, 0.2244018965579642)	(47.0, 0.18096927141771307)	(48.0, 0.07962647942379375)	(49.0, 0.07238770856708522)	(50.0, 0.17734988598935883)	(51.0, 1.9798038293097822)	(52.0, 13.775380940316307)	(53.0, 31.98812841579512)	(54.0, 19.161026457707422)	(55.0, 2.6168156647001313)	(56.0, 1.1509645662166552)	(57.0, 0.45604256397263687)	(58.0, 0.03257446885518835)	(59.0, 0.04343262514025113)	(60.0, 0.025335697998479827)	(61.0, 0.014477541713417044)	(62.0, 0.010858156285062783)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-38_S16.R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.009521693591900212)	(22.0, 0.009521693591900212)	(23.0, 0.009521693591900212)	(24.0, 0.07934744659916843)	(25.0, 0.2602596248452725)	(26.0, 1.2473418605389275)	(27.0, 3.046941949408067)	(28.0, 4.481543783921019)	(29.0, 3.8277208239438747)	(30.0, 1.878947535468311)	(31.0, 1.3901672644174305)	(32.0, 1.4504713238327989)	(33.0, 0.7807788745358172)	(34.0, 0.4665629860031105)	(35.0, 0.2221728504776716)	(36.0, 0.16504268892627036)	(37.0, 0.2729552163011394)	(38.0, 1.4726886088805664)	(39.0, 2.866029771161964)	(40.0, 0.8061700574475514)	(41.0, 0.5268670454184786)	(42.0, 1.1172120481162904)	(43.0, 0.22534674834163831)	(44.0, 0.14917319960643666)	(45.0, 0.2761291141651061)	(46.0, 0.7871266702637507)	(47.0, 0.374519947948075)	(48.0, 0.41895451804360945)	(49.0, 0.34595486717237434)	(50.0, 0.631605674929381)	(51.0, 3.567461199098606)	(52.0, 15.964706255752528)	(53.0, 26.264004824325006)	(54.0, 15.098232138889687)	(55.0, 6.604881454914787)	(56.0, 1.7805567016853399)	(57.0, 0.7141270193925159)	(58.0, 0.3173897863966737)	(59.0, 0.060304059415368004)	(60.0, 0.022217285047767158)	(61.0, 0.009521693591900212)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Gl-39_S17.R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.09914077990746858)	(24.0, 0.09914077990746858)	(25.0, 0.46265697290152)	(26.0, 3.5690680766688696)	(27.0, 17.514871116986125)	(28.0, 19.068076668869793)	(29.0, 12.095175148711167)	(30.0, 3.1725049570389943)	(31.0, 1.8836748182419034)	(32.0, 1.9828155981493716)	(33.0, 1.1896893588896231)	(34.0, 0.8261731658955715)	(35.0, 0.6278916060806344)	(36.0, 1.3218770654329146)	(37.0, 2.181097157964309)	(38.0, 2.445472571050892)	(39.0, 2.148050231328486)	(40.0, 4.39524124256444)	(41.0, 1.2557832121612689)	(42.0, 0.991407799074686)	(43.0, 0.2643754130865829)	(44.0, 0.39656311962987434)	(45.0, 0.0)	(46.0, 0.2643754130865829)	(47.0, 0.23132848645076)	(48.0, 0.4296100462656972)	(49.0, 0.6609385327164573)	(50.0, 0.4957038995373429)	(51.0, 2.9411764705882346)	(52.0, 3.7343027098479835)	(53.0, 2.908129543952412)	(54.0, 3.337739590218108)	(55.0, 2.5776602775941826)	(56.0, 1.751487111698612)	(57.0, 1.0905485789821545)	(58.0, 0.5948446794448117)	(59.0, 0.5287508261731658)	(60.0, 0.23132848645076)	(61.0, 0.13218770654329146)	(62.0, 0.0)	(63.0, 0.09914077990746858)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
