Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Gl-124_S46.R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 3.0)	(23.0, 7.0)	(24.0, 9.0)	(25.0, 14.0)	(26.0, 21.0)	(27.0, 40.0)	(28.0, 51.0)	(29.0, 88.0)	(30.0, 131.0)	(31.0, 222.0)	(32.0, 339.0)	(33.0, 511.0)	(34.0, 890.0)	(35.0, 1812.0)	(36.0, 5563.0)	(37.0, 11110.0)							
Gl-124_S46.R2	(14.0, 3.0)	(15.0, 3.0)	(16.0, 24.0)	(17.0, 65.0)	(18.0, 121.0)	(19.0, 133.0)	(20.0, 200.0)	(21.0, 183.0)	(22.0, 281.0)	(23.0, 308.0)	(24.0, 322.0)	(25.0, 414.0)	(26.0, 509.0)	(27.0, 660.0)	(28.0, 801.0)	(29.0, 1134.0)	(30.0, 1437.0)	(31.0, 2059.0)	(32.0, 2734.0)	(33.0, 3691.0)	(34.0, 3804.0)	(35.0, 1782.0)	(36.0, 145.0)				
Gl-125_S47.R1	(18.0, 6.0)	(19.0, 7.0)	(20.0, 4.0)	(21.0, 7.0)	(22.0, 8.0)	(23.0, 9.0)	(24.0, 13.0)	(25.0, 30.0)	(26.0, 34.0)	(27.0, 90.0)	(28.0, 108.0)	(29.0, 236.0)	(30.0, 285.0)	(31.0, 453.0)	(32.0, 704.0)	(33.0, 1122.0)	(34.0, 1884.0)	(35.0, 3895.0)	(36.0, 12698.0)	(37.0, 26806.0)							
Gl-125_S47.R2	(14.0, 2.0)	(15.0, 11.0)	(16.0, 52.0)	(17.0, 148.0)	(18.0, 220.0)	(19.0, 329.0)	(20.0, 391.0)	(21.0, 446.0)	(22.0, 544.0)	(23.0, 615.0)	(24.0, 737.0)	(25.0, 846.0)	(26.0, 1037.0)	(27.0, 1403.0)	(28.0, 1716.0)	(29.0, 2408.0)	(30.0, 3081.0)	(31.0, 4425.0)	(32.0, 6449.0)	(33.0, 8772.0)	(34.0, 9395.0)	(35.0, 4941.0)	(36.0, 430.0)	(37.0, 1.0)			
Gl-14_S2.R1	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 6.0)	(28.0, 11.0)	(29.0, 6.0)	(30.0, 15.0)	(31.0, 34.0)	(32.0, 40.0)	(33.0, 64.0)	(34.0, 125.0)	(35.0, 282.0)	(36.0, 779.0)	(37.0, 1023.0)									
Gl-14_S2.R2	(17.0, 7.0)	(18.0, 7.0)	(19.0, 12.0)	(20.0, 8.0)	(21.0, 19.0)	(22.0, 13.0)	(23.0, 16.0)	(24.0, 20.0)	(25.0, 23.0)	(26.0, 47.0)	(27.0, 62.0)	(28.0, 112.0)	(29.0, 182.0)	(30.0, 279.0)	(31.0, 256.0)	(32.0, 260.0)	(33.0, 285.0)	(34.0, 345.0)	(35.0, 297.0)	(36.0, 143.0)	(37.0, 1.0)						
Gl-15_S3.R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 8.0)	(25.0, 7.0)	(26.0, 9.0)	(27.0, 23.0)	(28.0, 20.0)	(29.0, 24.0)	(30.0, 35.0)	(31.0, 62.0)	(32.0, 88.0)	(33.0, 142.0)	(34.0, 252.0)	(35.0, 569.0)	(36.0, 1691.0)	(37.0, 2433.0)							
Gl-15_S3.R2	(14.0, 1.0)	(15.0, 0.0)	(16.0, 8.0)	(17.0, 7.0)	(18.0, 17.0)	(19.0, 18.0)	(20.0, 17.0)	(21.0, 24.0)	(22.0, 35.0)	(23.0, 45.0)	(24.0, 54.0)	(25.0, 94.0)	(26.0, 109.0)	(27.0, 128.0)	(28.0, 176.0)	(29.0, 326.0)	(30.0, 389.0)	(31.0, 467.0)	(32.0, 618.0)	(33.0, 779.0)	(34.0, 882.0)	(35.0, 827.0)	(36.0, 343.0)	(37.0, 7.0)			
Gl-16_S4.R1	(22.0, 2.0)	(23.0, 1.0)	(24.0, 2.0)	(25.0, 5.0)	(26.0, 7.0)	(27.0, 1.0)	(28.0, 7.0)	(29.0, 6.0)	(30.0, 20.0)	(31.0, 23.0)	(32.0, 49.0)	(33.0, 71.0)	(34.0, 144.0)	(35.0, 325.0)	(36.0, 712.0)	(37.0, 617.0)											
Gl-16_S4.R2	(16.0, 4.0)	(17.0, 5.0)	(18.0, 3.0)	(19.0, 15.0)	(20.0, 14.0)	(21.0, 13.0)	(22.0, 21.0)	(23.0, 24.0)	(24.0, 28.0)	(25.0, 24.0)	(26.0, 55.0)	(27.0, 79.0)	(28.0, 188.0)	(29.0, 327.0)	(30.0, 300.0)	(31.0, 203.0)	(32.0, 153.0)	(33.0, 169.0)	(34.0, 177.0)	(35.0, 139.0)	(36.0, 50.0)	(37.0, 1.0)					
Gl-17_S5.R1	(21.0, 1.0)	(22.0, 3.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 12.0)	(28.0, 11.0)	(29.0, 12.0)	(30.0, 28.0)	(31.0, 60.0)	(32.0, 72.0)	(33.0, 103.0)	(34.0, 281.0)	(35.0, 692.0)	(36.0, 1375.0)	(37.0, 944.0)										
Gl-17_S5.R2	(15.0, 2.0)	(16.0, 11.0)	(17.0, 8.0)	(18.0, 15.0)	(19.0, 19.0)	(20.0, 34.0)	(21.0, 31.0)	(22.0, 35.0)	(23.0, 53.0)	(24.0, 64.0)	(25.0, 71.0)	(26.0, 100.0)	(27.0, 139.0)	(28.0, 209.0)	(29.0, 265.0)	(30.0, 419.0)	(31.0, 522.0)	(32.0, 542.0)	(33.0, 489.0)	(34.0, 356.0)	(35.0, 190.0)	(36.0, 28.0)	(37.0, 3.0)				
Gl-25_S48.R1	(24.0, 1.0)	(25.0, 0.0)	(26.0, 1.0)	(27.0, 6.0)	(28.0, 2.0)	(29.0, 4.0)	(30.0, 3.0)	(31.0, 14.0)	(32.0, 16.0)	(33.0, 32.0)	(34.0, 61.0)	(35.0, 120.0)	(36.0, 405.0)	(37.0, 615.0)													
Gl-25_S48.R2	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 7.0)	(23.0, 8.0)	(24.0, 3.0)	(25.0, 14.0)	(26.0, 13.0)	(27.0, 32.0)	(28.0, 28.0)	(29.0, 52.0)	(30.0, 65.0)	(31.0, 94.0)	(32.0, 126.0)	(33.0, 162.0)	(34.0, 292.0)	(35.0, 262.0)	(36.0, 110.0)	(37.0, 2.0)					
Gl-26_S6.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 7.0)	(24.0, 4.0)	(25.0, 7.0)	(26.0, 6.0)	(27.0, 2.0)	(28.0, 8.0)	(29.0, 9.0)	(30.0, 21.0)	(31.0, 41.0)	(32.0, 55.0)	(33.0, 75.0)	(34.0, 155.0)	(35.0, 289.0)	(36.0, 733.0)	(37.0, 829.0)							
Gl-26_S6.R2	(16.0, 2.0)	(17.0, 7.0)	(18.0, 11.0)	(19.0, 11.0)	(20.0, 3.0)	(21.0, 11.0)	(22.0, 14.0)	(23.0, 21.0)	(24.0, 11.0)	(25.0, 20.0)	(26.0, 37.0)	(27.0, 71.0)	(28.0, 121.0)	(29.0, 218.0)	(30.0, 294.0)	(31.0, 217.0)	(32.0, 172.0)	(33.0, 233.0)	(34.0, 324.0)	(35.0, 342.0)	(36.0, 104.0)	(37.0, 3.0)					
Gl-27_S7.R1	(23.0, 4.0)	(24.0, 3.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 3.0)	(28.0, 6.0)	(29.0, 7.0)	(30.0, 16.0)	(31.0, 47.0)	(32.0, 71.0)	(33.0, 109.0)	(34.0, 219.0)	(35.0, 447.0)	(36.0, 741.0)	(37.0, 350.0)												
Gl-27_S7.R2	(17.0, 4.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 9.0)	(22.0, 7.0)	(23.0, 16.0)	(24.0, 8.0)	(25.0, 27.0)	(26.0, 40.0)	(27.0, 92.0)	(28.0, 236.0)	(29.0, 451.0)	(30.0, 461.0)	(31.0, 272.0)	(32.0, 109.0)	(33.0, 93.0)	(34.0, 107.0)	(35.0, 67.0)	(36.0, 19.0)							
Gl-28_S8.R1	(19.0, 1.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 1.0)	(25.0, 2.0)	(26.0, 3.0)	(27.0, 10.0)	(28.0, 15.0)	(29.0, 19.0)	(30.0, 27.0)	(31.0, 52.0)	(32.0, 73.0)	(33.0, 115.0)	(34.0, 243.0)	(35.0, 431.0)	(36.0, 938.0)	(37.0, 1188.0)								
Gl-28_S8.R2	(16.0, 7.0)	(17.0, 11.0)	(18.0, 9.0)	(19.0, 19.0)	(20.0, 31.0)	(21.0, 21.0)	(22.0, 30.0)	(23.0, 36.0)	(24.0, 40.0)	(25.0, 60.0)	(26.0, 61.0)	(27.0, 115.0)	(28.0, 219.0)	(29.0, 309.0)	(30.0, 361.0)	(31.0, 350.0)	(32.0, 303.0)	(33.0, 403.0)	(34.0, 457.0)	(35.0, 231.0)	(36.0, 50.0)	(37.0, 1.0)					
Gl-29_S9.R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 4.0)	(24.0, 4.0)	(25.0, 0.0)	(26.0, 4.0)	(27.0, 1.0)	(28.0, 8.0)	(29.0, 5.0)	(30.0, 16.0)	(31.0, 26.0)	(32.0, 59.0)	(33.0, 74.0)	(34.0, 147.0)	(35.0, 316.0)	(36.0, 709.0)	(37.0, 547.0)							
Gl-29_S9.R2	(17.0, 4.0)	(18.0, 3.0)	(19.0, 9.0)	(20.0, 6.0)	(21.0, 11.0)	(22.0, 11.0)	(23.0, 15.0)	(24.0, 21.0)	(25.0, 23.0)	(26.0, 32.0)	(27.0, 81.0)	(28.0, 169.0)	(29.0, 346.0)	(30.0, 337.0)	(31.0, 196.0)	(32.0, 130.0)	(33.0, 160.0)	(34.0, 158.0)	(35.0, 155.0)	(36.0, 54.0)	(37.0, 3.0)						
Gl-30_S10.R1	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 3.0)	(29.0, 16.0)	(30.0, 19.0)	(31.0, 31.0)	(32.0, 48.0)	(33.0, 89.0)	(34.0, 146.0)	(35.0, 314.0)	(36.0, 537.0)	(37.0, 327.0)										
Gl-30_S10.R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 8.0)	(21.0, 7.0)	(22.0, 12.0)	(23.0, 9.0)	(24.0, 24.0)	(25.0, 27.0)	(26.0, 41.0)	(27.0, 52.0)	(28.0, 141.0)	(29.0, 264.0)	(30.0, 292.0)	(31.0, 231.0)	(32.0, 134.0)	(33.0, 111.0)	(34.0, 110.0)	(35.0, 62.0)	(36.0, 14.0)						
Gl-31_S11.R1	(19.0, 1.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 3.0)	(25.0, 9.0)	(26.0, 9.0)	(27.0, 18.0)	(28.0, 22.0)	(29.0, 27.0)	(30.0, 63.0)	(31.0, 88.0)	(32.0, 141.0)	(33.0, 180.0)	(34.0, 379.0)	(35.0, 843.0)	(36.0, 2164.0)	(37.0, 3678.0)								
Gl-31_S11.R2	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 11.0)	(17.0, 27.0)	(18.0, 28.0)	(19.0, 34.0)	(20.0, 54.0)	(21.0, 58.0)	(22.0, 89.0)	(23.0, 85.0)	(24.0, 116.0)	(25.0, 125.0)	(26.0, 151.0)	(27.0, 232.0)	(28.0, 341.0)	(29.0, 546.0)	(30.0, 687.0)	(31.0, 757.0)	(32.0, 894.0)	(33.0, 1184.0)	(34.0, 1312.0)	(35.0, 789.0)	(36.0, 113.0)			
Gl-32_S12.R1	(18.0, 2.0)	(19.0, 9.0)	(20.0, 7.0)	(21.0, 8.0)	(22.0, 7.0)	(23.0, 9.0)	(24.0, 8.0)	(25.0, 9.0)	(26.0, 12.0)	(27.0, 14.0)	(28.0, 14.0)	(29.0, 24.0)	(30.0, 17.0)	(31.0, 51.0)	(32.0, 56.0)	(33.0, 83.0)	(34.0, 124.0)	(35.0, 304.0)	(36.0, 825.0)	(37.0, 1174.0)							
Gl-32_S12.R2	(14.0, 1.0)	(15.0, 0.0)	(16.0, 7.0)	(17.0, 13.0)	(18.0, 17.0)	(19.0, 28.0)	(20.0, 25.0)	(21.0, 28.0)	(22.0, 22.0)	(23.0, 39.0)	(24.0, 29.0)	(25.0, 34.0)	(26.0, 48.0)	(27.0, 62.0)	(28.0, 94.0)	(29.0, 129.0)	(30.0, 211.0)	(31.0, 219.0)	(32.0, 280.0)	(33.0, 411.0)	(34.0, 507.0)	(35.0, 428.0)	(36.0, 122.0)	(37.0, 3.0)			
Gl-33_S13.R1	(21.0, 2.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 4.0)	(25.0, 1.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 5.0)	(29.0, 7.0)	(30.0, 15.0)	(31.0, 27.0)	(32.0, 44.0)	(33.0, 87.0)	(34.0, 140.0)	(35.0, 288.0)	(36.0, 532.0)	(37.0, 316.0)										
Gl-33_S13.R2	(16.0, 2.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 7.0)	(22.0, 5.0)	(23.0, 8.0)	(24.0, 14.0)	(25.0, 25.0)	(26.0, 24.0)	(27.0, 59.0)	(28.0, 150.0)	(29.0, 245.0)	(30.0, 291.0)	(31.0, 199.0)	(32.0, 109.0)	(33.0, 88.0)	(34.0, 94.0)	(35.0, 113.0)	(36.0, 35.0)						
Gl-34_S14.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 6.0)	(29.0, 11.0)	(30.0, 20.0)	(31.0, 27.0)	(32.0, 68.0)	(33.0, 98.0)	(34.0, 168.0)	(35.0, 365.0)	(36.0, 725.0)	(37.0, 844.0)							
Gl-34_S14.R2	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 7.0)	(21.0, 9.0)	(22.0, 10.0)	(23.0, 13.0)	(24.0, 21.0)	(25.0, 32.0)	(26.0, 42.0)	(27.0, 70.0)	(28.0, 137.0)	(29.0, 278.0)	(30.0, 373.0)	(31.0, 268.0)	(32.0, 169.0)	(33.0, 162.0)	(34.0, 188.0)	(35.0, 259.0)	(36.0, 258.0)	(37.0, 36.0)			
Gl-36_S15.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 1.0)	(24.0, 1.0)	(25.0, 5.0)	(26.0, 5.0)	(27.0, 4.0)	(28.0, 5.0)	(29.0, 4.0)	(30.0, 5.0)	(31.0, 37.0)	(32.0, 47.0)	(33.0, 78.0)	(34.0, 116.0)	(35.0, 285.0)	(36.0, 601.0)	(37.0, 620.0)							
Gl-36_S15.R2	(16.0, 3.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 4.0)	(20.0, 7.0)	(21.0, 8.0)	(22.0, 6.0)	(23.0, 15.0)	(24.0, 10.0)	(25.0, 17.0)	(26.0, 22.0)	(27.0, 42.0)	(28.0, 117.0)	(29.0, 240.0)	(30.0, 280.0)	(31.0, 175.0)	(32.0, 133.0)	(33.0, 131.0)	(34.0, 254.0)	(35.0, 247.0)	(36.0, 100.0)	(37.0, 2.0)					
Gl-38_S16.R1	(20.0, 1.0)	(21.0, 0.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 11.0)	(28.0, 15.0)	(29.0, 28.0)	(30.0, 48.0)	(31.0, 77.0)	(32.0, 132.0)	(33.0, 203.0)	(34.0, 356.0)	(35.0, 865.0)	(36.0, 2345.0)	(37.0, 2449.0)									
Gl-38_S16.R2	(16.0, 4.0)	(17.0, 20.0)	(18.0, 26.0)	(19.0, 23.0)	(20.0, 36.0)	(21.0, 40.0)	(22.0, 41.0)	(23.0, 56.0)	(24.0, 77.0)	(25.0, 97.0)	(26.0, 131.0)	(27.0, 164.0)	(28.0, 277.0)	(29.0, 515.0)	(30.0, 708.0)	(31.0, 823.0)	(32.0, 940.0)	(33.0, 1090.0)	(34.0, 900.0)	(35.0, 450.0)	(36.0, 122.0)	(37.0, 3.0)					
Gl-39_S17.R1	(21.0, 1.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 2.0)	(26.0, 2.0)	(27.0, 1.0)	(28.0, 1.0)	(29.0, 2.0)	(30.0, 7.0)	(31.0, 17.0)	(32.0, 18.0)	(33.0, 30.0)	(34.0, 58.0)	(35.0, 132.0)	(36.0, 243.0)	(37.0, 169.0)										
Gl-39_S17.R2	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 10.0)	(27.0, 30.0)	(28.0, 50.0)	(29.0, 107.0)	(30.0, 115.0)	(31.0, 93.0)	(32.0, 68.0)	(33.0, 46.0)	(34.0, 59.0)	(35.0, 63.0)	(36.0, 17.0)						
Gl-45_S18.R1	(23.0, 2.0)	(24.0, 1.0)	(25.0, 1.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 6.0)	(29.0, 9.0)	(30.0, 13.0)	(31.0, 23.0)	(32.0, 31.0)	(33.0, 56.0)	(34.0, 110.0)	(35.0, 223.0)	(36.0, 335.0)	(37.0, 224.0)												
Gl-45_S18.R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 7.0)	(22.0, 3.0)	(23.0, 7.0)	(24.0, 2.0)	(25.0, 9.0)	(26.0, 20.0)	(27.0, 28.0)	(28.0, 83.0)	(29.0, 194.0)	(30.0, 242.0)	(31.0, 130.0)	(32.0, 64.0)	(33.0, 50.0)	(34.0, 66.0)	(35.0, 87.0)	(36.0, 35.0)	(37.0, 4.0)					
Gl-47_S19.R1	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 7.0)	(29.0, 8.0)	(30.0, 18.0)	(31.0, 24.0)	(32.0, 47.0)	(33.0, 91.0)	(34.0, 148.0)	(35.0, 306.0)	(36.0, 484.0)	(37.0, 200.0)										
Gl-47_S19.R2	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 7.0)	(24.0, 15.0)	(25.0, 13.0)	(26.0, 14.0)	(27.0, 53.0)	(28.0, 121.0)	(29.0, 254.0)	(30.0, 391.0)	(31.0, 240.0)	(32.0, 71.0)	(33.0, 33.0)	(34.0, 32.0)	(35.0, 58.0)	(36.0, 32.0)						
Gl-51_S20.R1	(23.0, 2.0)	(24.0, 0.0)	(25.0, 2.0)	(26.0, 3.0)	(27.0, 4.0)	(28.0, 6.0)	(29.0, 15.0)	(30.0, 12.0)	(31.0, 20.0)	(32.0, 25.0)	(33.0, 73.0)	(34.0, 108.0)	(35.0, 252.0)	(36.0, 606.0)	(37.0, 696.0)												
Gl-51_S20.R2	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 6.0)	(21.0, 8.0)	(22.0, 8.0)	(23.0, 13.0)	(24.0, 17.0)	(25.0, 18.0)	(26.0, 40.0)	(27.0, 55.0)	(28.0, 96.0)	(29.0, 151.0)	(30.0, 194.0)	(31.0, 194.0)	(32.0, 173.0)	(33.0, 267.0)	(34.0, 258.0)	(35.0, 189.0)	(36.0, 117.0)	(37.0, 9.0)				
Gl-52_S21.R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 3.0)	(25.0, 2.0)	(26.0, 7.0)	(27.0, 9.0)	(28.0, 14.0)	(29.0, 17.0)	(30.0, 43.0)	(31.0, 39.0)	(32.0, 70.0)	(33.0, 97.0)	(34.0, 214.0)	(35.0, 414.0)	(36.0, 1252.0)	(37.0, 2462.0)							
