Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Gl-52_S21.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 7.0)	(17.0, 16.0)	(18.0, 27.0)	(19.0, 27.0)	(20.0, 30.0)	(21.0, 62.0)	(22.0, 53.0)	(23.0, 55.0)	(24.0, 65.0)	(25.0, 86.0)	(26.0, 113.0)	(27.0, 125.0)	(28.0, 183.0)	(29.0, 258.0)	(30.0, 361.0)	(31.0, 429.0)	(32.0, 573.0)	(33.0, 759.0)	(34.0, 864.0)	(35.0, 494.0)	(36.0, 61.0)	(37.0, 3.0)	
Gl-53_S22.R1	(20.0, 1.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 5.0)	(28.0, 6.0)	(29.0, 11.0)	(30.0, 7.0)	(31.0, 30.0)	(32.0, 47.0)	(33.0, 69.0)	(34.0, 146.0)	(35.0, 301.0)	(36.0, 517.0)	(37.0, 490.0)									
Gl-53_S22.R2	(17.0, 2.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 7.0)	(21.0, 4.0)	(22.0, 7.0)	(23.0, 5.0)	(24.0, 9.0)	(25.0, 10.0)	(26.0, 23.0)	(27.0, 47.0)	(28.0, 108.0)	(29.0, 203.0)	(30.0, 310.0)	(31.0, 236.0)	(32.0, 124.0)	(33.0, 98.0)	(34.0, 123.0)	(35.0, 204.0)	(36.0, 115.0)	(37.0, 2.0)						
Gl-54_S23.R1	(20.0, 1.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 2.0)	(24.0, 4.0)	(25.0, 6.0)	(26.0, 3.0)	(27.0, 6.0)	(28.0, 7.0)	(29.0, 17.0)	(30.0, 25.0)	(31.0, 36.0)	(32.0, 52.0)	(33.0, 95.0)	(34.0, 166.0)	(35.0, 430.0)	(36.0, 1073.0)	(37.0, 1433.0)									
Gl-54_S23.R2	(16.0, 2.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 16.0)	(21.0, 14.0)	(22.0, 18.0)	(23.0, 23.0)	(24.0, 30.0)	(25.0, 33.0)	(26.0, 57.0)	(27.0, 71.0)	(28.0, 124.0)	(29.0, 205.0)	(30.0, 301.0)	(31.0, 377.0)	(32.0, 395.0)	(33.0, 494.0)	(34.0, 524.0)	(35.0, 400.0)	(36.0, 233.0)	(37.0, 28.0)					
Gl-56_S24.R1	(22.0, 3.0)	(23.0, 3.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 16.0)	(28.0, 22.0)	(29.0, 42.0)	(30.0, 60.0)	(31.0, 94.0)	(32.0, 134.0)	(33.0, 260.0)	(34.0, 402.0)	(35.0, 1057.0)	(36.0, 3339.0)	(37.0, 3670.0)											
Gl-56_S24.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 12.0)	(17.0, 26.0)	(18.0, 45.0)	(19.0, 40.0)	(20.0, 62.0)	(21.0, 62.0)	(22.0, 68.0)	(23.0, 96.0)	(24.0, 111.0)	(25.0, 152.0)	(26.0, 203.0)	(27.0, 256.0)	(28.0, 370.0)	(29.0, 546.0)	(30.0, 801.0)	(31.0, 1192.0)	(32.0, 1551.0)	(33.0, 1725.0)	(34.0, 1228.0)	(35.0, 465.0)	(36.0, 92.0)	(37.0, 3.0)	
Gl-61_S25.R1	(19.0, 1.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 4.0)	(24.0, 7.0)	(25.0, 3.0)	(26.0, 6.0)	(27.0, 12.0)	(28.0, 19.0)	(29.0, 36.0)	(30.0, 61.0)	(31.0, 97.0)	(32.0, 174.0)	(33.0, 258.0)	(34.0, 439.0)	(35.0, 877.0)	(36.0, 2700.0)	(37.0, 5742.0)								
Gl-61_S25.R2	(15.0, 2.0)	(16.0, 11.0)	(17.0, 31.0)	(18.0, 41.0)	(19.0, 71.0)	(20.0, 87.0)	(21.0, 86.0)	(22.0, 121.0)	(23.0, 133.0)	(24.0, 153.0)	(25.0, 167.0)	(26.0, 239.0)	(27.0, 283.0)	(28.0, 437.0)	(29.0, 581.0)	(30.0, 807.0)	(31.0, 947.0)	(32.0, 1332.0)	(33.0, 1767.0)	(34.0, 1910.0)	(35.0, 1064.0)	(36.0, 168.0)	(37.0, 2.0)				
Gl-62_S26.R1	(22.0, 3.0)	(23.0, 4.0)	(24.0, 6.0)	(25.0, 5.0)	(26.0, 6.0)	(27.0, 23.0)	(28.0, 29.0)	(29.0, 55.0)	(30.0, 62.0)	(31.0, 125.0)	(32.0, 166.0)	(33.0, 253.0)	(34.0, 458.0)	(35.0, 1077.0)	(36.0, 3333.0)	(37.0, 3689.0)											
Gl-62_S26.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 13.0)	(17.0, 26.0)	(18.0, 38.0)	(19.0, 63.0)	(20.0, 66.0)	(21.0, 64.0)	(22.0, 84.0)	(23.0, 103.0)	(24.0, 110.0)	(25.0, 163.0)	(26.0, 216.0)	(27.0, 277.0)	(28.0, 444.0)	(29.0, 630.0)	(30.0, 875.0)	(31.0, 1148.0)	(32.0, 1392.0)	(33.0, 1635.0)	(34.0, 1227.0)	(35.0, 531.0)	(36.0, 178.0)	(37.0, 7.0)	
Gl-63_S27.R1	(19.0, 1.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 5.0)	(28.0, 4.0)	(29.0, 5.0)	(30.0, 23.0)	(31.0, 40.0)	(32.0, 49.0)	(33.0, 91.0)	(34.0, 130.0)	(35.0, 288.0)	(36.0, 644.0)	(37.0, 606.0)								
Gl-63_S27.R2	(16.0, 4.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 8.0)	(20.0, 9.0)	(21.0, 19.0)	(22.0, 13.0)	(23.0, 19.0)	(24.0, 20.0)	(25.0, 22.0)	(26.0, 48.0)	(27.0, 52.0)	(28.0, 147.0)	(29.0, 274.0)	(30.0, 278.0)	(31.0, 232.0)	(32.0, 202.0)	(33.0, 176.0)	(34.0, 201.0)	(35.0, 122.0)	(36.0, 32.0)	(37.0, 1.0)					
Gl-64_S28.R1	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 1.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 10.0)	(29.0, 11.0)	(30.0, 28.0)	(31.0, 65.0)	(32.0, 72.0)	(33.0, 142.0)	(34.0, 248.0)	(35.0, 474.0)	(36.0, 1196.0)	(37.0, 1864.0)									
Gl-64_S28.R2	(15.0, 1.0)	(16.0, 4.0)	(17.0, 10.0)	(18.0, 16.0)	(19.0, 19.0)	(20.0, 26.0)	(21.0, 21.0)	(22.0, 45.0)	(23.0, 41.0)	(24.0, 56.0)	(25.0, 55.0)	(26.0, 98.0)	(27.0, 95.0)	(28.0, 213.0)	(29.0, 329.0)	(30.0, 368.0)	(31.0, 380.0)	(32.0, 377.0)	(33.0, 497.0)	(34.0, 676.0)	(35.0, 599.0)	(36.0, 198.0)	(37.0, 4.0)				
Gl-66_S29.R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 8.0)	(24.0, 10.0)	(25.0, 9.0)	(26.0, 20.0)	(27.0, 46.0)	(28.0, 50.0)	(29.0, 83.0)	(30.0, 127.0)	(31.0, 217.0)	(32.0, 361.0)	(33.0, 572.0)	(34.0, 960.0)	(35.0, 2098.0)	(36.0, 6786.0)	(37.0, 10564.0)							
Gl-66_S29.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 24.0)	(17.0, 69.0)	(18.0, 112.0)	(19.0, 145.0)	(20.0, 167.0)	(21.0, 181.0)	(22.0, 238.0)	(23.0, 259.0)	(24.0, 318.0)	(25.0, 385.0)	(26.0, 498.0)	(27.0, 649.0)	(28.0, 814.0)	(29.0, 1049.0)	(30.0, 1550.0)	(31.0, 2304.0)	(32.0, 3288.0)	(33.0, 4257.0)	(34.0, 3728.0)	(35.0, 1699.0)	(36.0, 186.0)		
Gl-67_S30.R1	(23.0, 3.0)	(24.0, 4.0)	(25.0, 4.0)	(26.0, 10.0)	(27.0, 14.0)	(28.0, 27.0)	(29.0, 30.0)	(30.0, 58.0)	(31.0, 91.0)	(32.0, 140.0)	(33.0, 220.0)	(34.0, 447.0)	(35.0, 902.0)	(36.0, 2612.0)	(37.0, 3791.0)												
Gl-67_S30.R2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 16.0)	(18.0, 35.0)	(19.0, 50.0)	(20.0, 53.0)	(21.0, 70.0)	(22.0, 82.0)	(23.0, 96.0)	(24.0, 101.0)	(25.0, 166.0)	(26.0, 185.0)	(27.0, 247.0)	(28.0, 369.0)	(29.0, 556.0)	(30.0, 699.0)	(31.0, 920.0)	(32.0, 1127.0)	(33.0, 1405.0)	(34.0, 1305.0)	(35.0, 722.0)	(36.0, 136.0)	(37.0, 2.0)			
Gl-69_S31.R1	(19.0, 1.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 5.0)	(23.0, 2.0)	(24.0, 9.0)	(25.0, 16.0)	(26.0, 11.0)	(27.0, 28.0)	(28.0, 54.0)	(29.0, 85.0)	(30.0, 120.0)	(31.0, 180.0)	(32.0, 291.0)	(33.0, 522.0)	(34.0, 1015.0)	(35.0, 2257.0)	(36.0, 6756.0)	(37.0, 5336.0)								
Gl-69_S31.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 4.0)	(16.0, 36.0)	(17.0, 58.0)	(18.0, 91.0)	(19.0, 108.0)	(20.0, 151.0)	(21.0, 154.0)	(22.0, 200.0)	(23.0, 249.0)	(24.0, 290.0)	(25.0, 351.0)	(26.0, 462.0)	(27.0, 599.0)	(28.0, 872.0)	(29.0, 1219.0)	(30.0, 1733.0)	(31.0, 2426.0)	(32.0, 2799.0)	(33.0, 2761.0)	(34.0, 1616.0)	(35.0, 449.0)	(36.0, 58.0)	(37.0, 1.0)	
Gl-70_S32.R1	(18.0, 2.0)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 5.0)	(24.0, 10.0)	(25.0, 20.0)	(26.0, 21.0)	(27.0, 45.0)	(28.0, 60.0)	(29.0, 91.0)	(30.0, 157.0)	(31.0, 234.0)	(32.0, 352.0)	(33.0, 528.0)	(34.0, 941.0)	(35.0, 1919.0)	(36.0, 6204.0)	(37.0, 11689.0)							
Gl-70_S32.R2	(15.0, 6.0)	(16.0, 37.0)	(17.0, 88.0)	(18.0, 127.0)	(19.0, 172.0)	(20.0, 197.0)	(21.0, 252.0)	(22.0, 264.0)	(23.0, 310.0)	(24.0, 348.0)	(25.0, 451.0)	(26.0, 557.0)	(27.0, 697.0)	(28.0, 853.0)	(29.0, 1105.0)	(30.0, 1587.0)	(31.0, 2226.0)	(32.0, 2989.0)	(33.0, 3918.0)	(34.0, 4061.0)	(35.0, 1873.0)	(36.0, 163.0)					
Gl-71_S33.R1	(19.0, 2.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 5.0)	(24.0, 8.0)	(25.0, 8.0)	(26.0, 11.0)	(27.0, 24.0)	(28.0, 32.0)	(29.0, 72.0)	(30.0, 90.0)	(31.0, 139.0)	(32.0, 207.0)	(33.0, 335.0)	(34.0, 634.0)	(35.0, 1513.0)	(36.0, 4838.0)	(37.0, 5774.0)								
Gl-71_S33.R2	(15.0, 3.0)	(16.0, 13.0)	(17.0, 43.0)	(18.0, 68.0)	(19.0, 96.0)	(20.0, 90.0)	(21.0, 116.0)	(22.0, 171.0)	(23.0, 171.0)	(24.0, 197.0)	(25.0, 272.0)	(26.0, 338.0)	(27.0, 469.0)	(28.0, 572.0)	(29.0, 861.0)	(30.0, 1230.0)	(31.0, 1657.0)	(32.0, 2192.0)	(33.0, 2382.0)	(34.0, 1922.0)	(35.0, 761.0)	(36.0, 76.0)	(37.0, 1.0)				
Gl-72_S34.R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 4.0)	(24.0, 8.0)	(25.0, 15.0)	(26.0, 23.0)	(27.0, 35.0)	(28.0, 52.0)	(29.0, 76.0)	(30.0, 118.0)	(31.0, 199.0)	(32.0, 345.0)	(33.0, 521.0)	(34.0, 897.0)	(35.0, 1884.0)	(36.0, 5756.0)	(37.0, 10323.0)							
Gl-72_S34.R2	(15.0, 4.0)	(16.0, 32.0)	(17.0, 63.0)	(18.0, 122.0)	(19.0, 123.0)	(20.0, 167.0)	(21.0, 230.0)	(22.0, 225.0)	(23.0, 252.0)	(24.0, 366.0)	(25.0, 445.0)	(26.0, 459.0)	(27.0, 594.0)	(28.0, 797.0)	(29.0, 1097.0)	(30.0, 1385.0)	(31.0, 1959.0)	(32.0, 2790.0)	(33.0, 3658.0)	(34.0, 3540.0)	(35.0, 1770.0)	(36.0, 185.0)	(37.0, 1.0)				
Gl-73_S35.R1	(18.0, 1.0)	(19.0, 4.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 9.0)	(25.0, 12.0)	(26.0, 20.0)	(27.0, 39.0)	(28.0, 65.0)	(29.0, 89.0)	(30.0, 147.0)	(31.0, 240.0)	(32.0, 344.0)	(33.0, 578.0)	(34.0, 1056.0)	(35.0, 2021.0)	(36.0, 6417.0)	(37.0, 12486.0)							
Gl-73_S35.R2	(15.0, 4.0)	(16.0, 31.0)	(17.0, 76.0)	(18.0, 106.0)	(19.0, 150.0)	(20.0, 177.0)	(21.0, 215.0)	(22.0, 272.0)	(23.0, 329.0)	(24.0, 355.0)	(25.0, 404.0)	(26.0, 540.0)	(27.0, 662.0)	(28.0, 933.0)	(29.0, 1215.0)	(30.0, 1595.0)	(31.0, 2241.0)	(32.0, 3194.0)	(33.0, 4249.0)	(34.0, 4391.0)	(35.0, 2172.0)	(36.0, 224.0)	(37.0, 1.0)				
Gl-75_S36.R1	(19.0, 2.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 6.0)	(23.0, 9.0)	(24.0, 9.0)	(25.0, 13.0)	(26.0, 29.0)	(27.0, 47.0)	(28.0, 72.0)	(29.0, 126.0)	(30.0, 179.0)	(31.0, 295.0)	(32.0, 431.0)	(33.0, 744.0)	(34.0, 1310.0)	(35.0, 2814.0)	(36.0, 9720.0)	(37.0, 13321.0)								
Gl-75_S36.R2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 12.0)	(17.0, 41.0)	(18.0, 84.0)	(19.0, 128.0)	(20.0, 165.0)	(21.0, 209.0)	(22.0, 231.0)	(23.0, 279.0)	(24.0, 323.0)	(25.0, 414.0)	(26.0, 537.0)	(27.0, 680.0)	(28.0, 936.0)	(29.0, 1273.0)	(30.0, 1836.0)	(31.0, 2750.0)	(32.0, 4257.0)	(33.0, 6076.0)	(34.0, 5888.0)	(35.0, 2752.0)	(36.0, 255.0)	(37.0, 3.0)
Gl-79_S37.R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 4.0)	(23.0, 4.0)	(24.0, 6.0)	(25.0, 10.0)	(26.0, 19.0)	(27.0, 29.0)	(28.0, 51.0)	(29.0, 70.0)	(30.0, 106.0)	(31.0, 185.0)	(32.0, 272.0)	(33.0, 453.0)	(34.0, 723.0)	(35.0, 1560.0)	(36.0, 4912.0)	(37.0, 9499.0)							
Gl-79_S37.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 5.0)	(16.0, 16.0)	(17.0, 50.0)	(18.0, 60.0)	(19.0, 111.0)	(20.0, 112.0)	(21.0, 142.0)	(22.0, 160.0)	(23.0, 222.0)	(24.0, 265.0)	(25.0, 290.0)	(26.0, 372.0)	(27.0, 486.0)	(28.0, 634.0)	(29.0, 852.0)	(30.0, 1112.0)	(31.0, 1521.0)	(32.0, 2209.0)	(33.0, 3168.0)	(34.0, 3679.0)	(35.0, 2159.0)	(36.0, 282.0)	(37.0, 2.0)	
Gl-7_S1.R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 6.0)	(24.0, 8.0)	(25.0, 14.0)	(26.0, 18.0)	(27.0, 25.0)	(28.0, 54.0)	(29.0, 89.0)	(30.0, 137.0)	(31.0, 162.0)	(32.0, 272.0)	(33.0, 484.0)	(34.0, 772.0)	(35.0, 1672.0)	(36.0, 5102.0)	(37.0, 9336.0)							
Gl-7_S1.R2	(15.0, 2.0)	(16.0, 21.0)	(17.0, 49.0)	(18.0, 91.0)	(19.0, 110.0)	(20.0, 127.0)	(21.0, 180.0)	(22.0, 182.0)	(23.0, 237.0)	(24.0, 248.0)	(25.0, 333.0)	(26.0, 413.0)	(27.0, 513.0)	(28.0, 631.0)	(29.0, 947.0)	(30.0, 1308.0)	(31.0, 1714.0)	(32.0, 2310.0)	(33.0, 3081.0)	(34.0, 3483.0)	(35.0, 1923.0)	(36.0, 257.0)					
Gl-80_S38.R1	(18.0, 1.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 9.0)	(25.0, 20.0)	(26.0, 31.0)	(27.0, 47.0)	(28.0, 60.0)	(29.0, 141.0)	(30.0, 190.0)	(31.0, 263.0)	(32.0, 407.0)	(33.0, 713.0)	(34.0, 1123.0)	(35.0, 2316.0)	(36.0, 7496.0)	(37.0, 15513.0)							
Gl-80_S38.R2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 21.0)	(17.0, 75.0)	(18.0, 111.0)	(19.0, 168.0)	(20.0, 206.0)	(21.0, 241.0)	(22.0, 313.0)	(23.0, 374.0)	(24.0, 376.0)	(25.0, 494.0)	(26.0, 577.0)	(27.0, 779.0)	(28.0, 1042.0)	(29.0, 1308.0)	(30.0, 1815.0)	(31.0, 2515.0)	(32.0, 3635.0)	(33.0, 5071.0)	(34.0, 5748.0)	(35.0, 3134.0)	(36.0, 333.0)	(37.0, 2.0)
Gl-85_S39.R1	(17.0, 1.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 7.0)	(22.0, 4.0)	(23.0, 9.0)	(24.0, 14.0)	(25.0, 28.0)	(26.0, 31.0)	(27.0, 65.0)	(28.0, 95.0)	(29.0, 152.0)	(30.0, 256.0)	(31.0, 347.0)	(32.0, 542.0)	(33.0, 890.0)	(34.0, 1703.0)	(35.0, 4000.0)	(36.0, 12585.0)	(37.0, 11655.0)						
Gl-85_S39.R2	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 15.0)	(17.0, 48.0)	(18.0, 81.0)	(19.0, 152.0)	(20.0, 189.0)	(21.0, 232.0)	(22.0, 304.0)	(23.0, 371.0)	(24.0, 451.0)	(25.0, 567.0)	(26.0, 753.0)	(27.0, 941.0)	(28.0, 1275.0)	(29.0, 1828.0)	(30.0, 2532.0)	(31.0, 3602.0)	(32.0, 5189.0)	(33.0, 6397.0)	(34.0, 5448.0)	(35.0, 1882.0)	(36.0, 120.0)	(37.0, 3.0)	
Gl-86_S40.R1	(23.0, 1.0)	(24.0, 2.0)	(25.0, 2.0)	(26.0, 5.0)	(27.0, 7.0)	(28.0, 9.0)	(29.0, 11.0)	(30.0, 31.0)	(31.0, 39.0)	(32.0, 58.0)	(33.0, 95.0)	(34.0, 170.0)	(35.0, 394.0)	(36.0, 865.0)	(37.0, 1248.0)												
Gl-86_S40.R2	(15.0, 1.0)	(16.0, 0.0)	(17.0, 9.0)	(18.0, 12.0)	(19.0, 16.0)	(20.0, 21.0)	(21.0, 23.0)	(22.0, 19.0)	(23.0, 28.0)	(24.0, 30.0)	(25.0, 43.0)	(26.0, 78.0)	(27.0, 69.0)	(28.0, 155.0)	(29.0, 265.0)	(30.0, 317.0)	(31.0, 281.0)	(32.0, 323.0)	(33.0, 362.0)	(34.0, 399.0)	(35.0, 316.0)	(36.0, 157.0)	(37.0, 13.0)				
Gl-88_S41.R1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 0.0)	(21.0, 2.0)	(22.0, 0.0)	(23.0, 7.0)	(24.0, 4.0)	(25.0, 7.0)	(26.0, 11.0)	(27.0, 22.0)	(28.0, 35.0)	(29.0, 41.0)	(30.0, 70.0)	(31.0, 119.0)	(32.0, 206.0)	(33.0, 326.0)	(34.0, 570.0)	(35.0, 1288.0)	(36.0, 4125.0)	(37.0, 4458.0)							
Gl-88_S41.R2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 4.0)	(16.0, 14.0)	(17.0, 39.0)	(18.0, 54.0)	(19.0, 47.0)	(20.0, 69.0)	(21.0, 97.0)	(22.0, 101.0)	(23.0, 138.0)	(24.0, 172.0)	(25.0, 205.0)	(26.0, 249.0)	(27.0, 343.0)	(28.0, 479.0)	(29.0, 725.0)	(30.0, 999.0)	(31.0, 1339.0)	(32.0, 1673.0)	(33.0, 1880.0)	(34.0, 1489.0)	(35.0, 944.0)	(36.0, 231.0)			
I10_S77.R1	(19.0, 3.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 11.0)	(26.0, 13.0)	(27.0, 20.0)	(28.0, 53.0)	(29.0, 85.0)	(30.0, 115.0)	(31.0, 178.0)	(32.0, 298.0)	(33.0, 427.0)	(34.0, 822.0)	(35.0, 1744.0)	(36.0, 5333.0)	(37.0, 12401.0)								
I10_S77.R2	(15.0, 7.0)	(16.0, 14.0)	(17.0, 67.0)	(18.0, 103.0)	(19.0, 144.0)	(20.0, 155.0)	(21.0, 203.0)	(22.0, 206.0)	(23.0, 272.0)	(24.0, 301.0)	(25.0, 351.0)	(26.0, 478.0)	(27.0, 599.0)	(28.0, 767.0)	(29.0, 1089.0)	(30.0, 1463.0)	(31.0, 1949.0)	(32.0, 2805.0)	(33.0, 3798.0)	(34.0, 4219.0)	(35.0, 2307.0)	(36.0, 223.0)	(37.0, 1.0)				
I111_S52.R1	(23.0, 3.0)	(24.0, 6.0)	(25.0, 7.0)	(26.0, 11.0)	(27.0, 21.0)	(28.0, 39.0)	(29.0, 47.0)	(30.0, 80.0)	(31.0, 114.0)	(32.0, 169.0)	(33.0, 290.0)	(34.0, 546.0)	(35.0, 1296.0)	(36.0, 4643.0)	(37.0, 5115.0)												
I111_S52.R2	(15.0, 1.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 22.0)	(19.0, 35.0)	(20.0, 50.0)	(21.0, 59.0)	(22.0, 71.0)	(23.0, 90.0)	(24.0, 105.0)	(25.0, 143.0)	(26.0, 188.0)	(27.0, 218.0)	(28.0, 317.0)	(29.0, 415.0)	(30.0, 663.0)	(31.0, 1064.0)	(32.0, 1761.0)	(33.0, 2740.0)	(34.0, 2919.0)	(35.0, 1385.0)	(36.0, 131.0)	(37.0, 2.0)				
I113_S59.R1	(20.0, 1.0)	(21.0, 0.0)	(22.0, 2.0)	(23.0, 6.0)	(24.0, 2.0)	(25.0, 17.0)	(26.0, 42.0)	(27.0, 70.0)	(28.0, 120.0)	(29.0, 190.0)	(30.0, 260.0)	(31.0, 395.0)	(32.0, 625.0)	(33.0, 1024.0)	(34.0, 1952.0)	(35.0, 4335.0)	(36.0, 16372.0)	(37.0, 20032.0)									
I113_S59.R2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 19.0)	(17.0, 50.0)	(18.0, 124.0)	(19.0, 160.0)	(20.0, 199.0)	(21.0, 244.0)	(22.0, 288.0)	(23.0, 382.0)	(24.0, 531.0)	(25.0, 601.0)	(26.0, 816.0)	(27.0, 972.0)	(28.0, 1366.0)	(29.0, 1900.0)	(30.0, 2801.0)	(31.0, 4578.0)	(32.0, 7313.0)	(33.0, 10217.0)	(34.0, 9399.0)	(35.0, 3253.0)	(36.0, 223.0)	(37.0, 4.0)	
I117_S53.R1	(20.0, 2.0)	(21.0, 4.0)	(22.0, 2.0)	(23.0, 7.0)	(24.0, 27.0)	(25.0, 35.0)	(26.0, 61.0)	(27.0, 91.0)	(28.0, 160.0)	(29.0, 261.0)	(30.0, 392.0)	(31.0, 546.0)	(32.0, 928.0)	(33.0, 1447.0)	(34.0, 2545.0)	(35.0, 5836.0)	(36.0, 18200.0)	(37.0, 16326.0)									
I117_S53.R2	(15.0, 2.0)	(16.0, 22.0)	(17.0, 58.0)	(18.0, 126.0)	(19.0, 202.0)	(20.0, 299.0)	(21.0, 348.0)	(22.0, 430.0)	(23.0, 557.0)	(24.0, 716.0)	(25.0, 842.0)	(26.0, 1002.0)	(27.0, 1303.0)	(28.0, 1796.0)	(29.0, 2512.0)	(30.0, 3489.0)	(31.0, 4960.0)	(32.0, 7215.0)	(33.0, 9440.0)	(34.0, 8393.0)	(35.0, 3005.0)	(36.0, 144.0)	(37.0, 9.0)				
I11_S78.R1	(18.0, 2.0)	(19.0, 3.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 1.0)	(23.0, 11.0)	(24.0, 10.0)	(25.0, 25.0)	(26.0, 46.0)	(27.0, 82.0)	(28.0, 107.0)	(29.0, 164.0)	(30.0, 299.0)	(31.0, 469.0)	(32.0, 690.0)	(33.0, 1230.0)	(34.0, 2197.0)	(35.0, 4905.0)	(36.0, 15222.0)	(37.0, 21444.0)							
I11_S78.R2	(14.0, 3.0)	(15.0, 6.0)	(16.0, 30.0)	(17.0, 84.0)	(18.0, 155.0)	(19.0, 212.0)	(20.0, 278.0)	(21.0, 347.0)	(22.0, 415.0)	(23.0, 495.0)	(24.0, 570.0)	(25.0, 748.0)	(26.0, 897.0)	(27.0, 1059.0)	(28.0, 1474.0)	(29.0, 1946.0)	(30.0, 2712.0)	(31.0, 3693.0)	(32.0, 5490.0)	(33.0, 7829.0)	(34.0, 9827.0)	(35.0, 7353.0)	(36.0, 1287.0)	(37.0, 4.0)			
I13_S67.R1	(18.0, 3.0)	(19.0, 4.0)	(20.0, 2.0)	(21.0, 4.0)	(22.0, 4.0)	(23.0, 7.0)	(24.0, 11.0)	(25.0, 18.0)	(26.0, 23.0)	(27.0, 38.0)	(28.0, 66.0)	(29.0, 118.0)	(30.0, 211.0)	(31.0, 307.0)	(32.0, 511.0)	(33.0, 842.0)	(34.0, 1387.0)	(35.0, 2820.0)	(36.0, 8803.0)	(37.0, 18624.0)							
I13_S67.R2	(14.0, 1.0)	(15.0, 3.0)	(16.0, 31.0)	(17.0, 106.0)	(18.0, 166.0)	(19.0, 199.0)	(20.0, 263.0)	(21.0, 306.0)	(22.0, 417.0)	(23.0, 457.0)	(24.0, 598.0)	(25.0, 652.0)	(26.0, 818.0)	(27.0, 967.0)	(28.0, 1380.0)	(29.0, 1715.0)	(30.0, 2306.0)	(31.0, 3318.0)	(32.0, 4532.0)	(33.0, 6027.0)	(34.0, 6241.0)	(35.0, 3051.0)	(36.0, 248.0)	(37.0, 1.0)			
