Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Gl-45_S18.R1	(1.0, 17.692307692307693)	(2.0, 4.615384615384616)	(3.0, 1.153846153846154)	(4.0, 2.307692307692308)	(5.0, 1.9230769230769231)	(6.0, 1.153846153846154)	(7.0, 1.3461538461538463)	(8.0, 1.5384615384615385)	(9.0, 0.8653846153846154)	('>10', 12.01923076923077)	('>50', 0.0)	('>100', 55.38461538461539)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-45_S18.R2	(1.0, 18.365384615384617)	(2.0, 3.653846153846154)	(3.0, 2.019230769230769)	(4.0, 1.153846153846154)	(5.0, 1.4423076923076923)	(6.0, 1.7307692307692308)	(7.0, 2.019230769230769)	(8.0, 0.0)	(9.0, 0.0)	('>10', 11.057692307692307)	('>50', 0.0)	('>100', 58.557692307692314)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-47_S19.R1	(1.0, 8.42654735272185)	(2.0, 2.684563758389262)	(3.0, 2.013422818791946)	(4.0, 0.5965697240865026)	(5.0, 0.7457121551081283)	(6.0, 2.237136465324385)	(7.0, 1.0439970171513795)	(8.0, 0.0)	(9.0, 0.6711409395973155)	('>10', 11.483967188665176)	('>50', 0.0)	('>100', 70.09694258016405)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-47_S19.R2	(1.0, 9.47054436987323)	(2.0, 2.237136465324385)	(3.0, 0.8948545861297539)	(4.0, 1.7897091722595078)	(5.0, 1.1185682326621924)	(6.0, 0.44742729306487694)	(7.0, 0.5219985085756897)	(8.0, 0.5965697240865026)	(9.0, 0.0)	('>10', 11.334824757643549)	('>50', 0.0)	('>100', 26.32363907531693)	('>500', 45.26472781506339)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-51_S20.R1	(1.0, 8.388157894736842)	(2.0, 2.631578947368421)	(3.0, 1.9736842105263157)	(4.0, 0.6578947368421052)	(5.0, 2.7412280701754383)	(6.0, 1.9736842105263157)	(7.0, 1.9188596491228072)	(8.0, 0.43859649122807015)	(9.0, 0.0)	('>10', 8.552631578947368)	('>50', 3.453947368421053)	('>100', 67.26973684210526)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-51_S20.R2	(1.0, 13.37719298245614)	(2.0, 2.9605263157894735)	(3.0, 1.151315789473684)	(4.0, 1.3157894736842104)	(5.0, 1.3706140350877192)	(6.0, 0.6578947368421052)	(7.0, 0.3837719298245614)	(8.0, 0.43859649122807015)	(9.0, 1.9736842105263157)	('>10', 10.69078947368421)	('>50', 0.0)	('>100', 65.6798245614035)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-52_S21.R1	(1.0, 7.9088759939823765)	(2.0, 2.278100150440576)	(3.0, 1.096067053513862)	(4.0, 0.7736943907156674)	(5.0, 0.3223726627981947)	(6.0, 0.3868471953578337)	(7.0, 1.053084031807436)	(8.0, 1.0315925209542232)	(9.0, 0.3868471953578337)	('>10', 7.629486352890607)	('>50', 11.734364925854287)	('>100', 52.56823554695895)	('>500', 12.83043197936815)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-52_S21.R2	(1.0, 14.14141414141414)	(2.0, 3.524607779926929)	(3.0, 1.5473887814313347)	(4.0, 1.1175585643670751)	(5.0, 0.4298302170642596)	(6.0, 0.6447453255963894)	(7.0, 0.6017623038899635)	(8.0, 0.17193208682570385)	(9.0, 0.7736943907156674)	('>10', 8.854502471523748)	('>50', 6.1465721040189125)	('>100', 48.957661723619175)	('>500', 13.088330109606705)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-53_S22.R1	(1.0, 7.416413373860182)	(2.0, 1.9452887537993921)	(3.0, 0.911854103343465)	(4.0, 0.729483282674772)	(5.0, 0.911854103343465)	(6.0, 1.458966565349544)	(7.0, 0.425531914893617)	(8.0, 0.48632218844984804)	(9.0, 0.547112462006079)	('>10', 14.893617021276595)	('>50', 11.914893617021278)	('>100', 58.35866261398176)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-53_S22.R2	(1.0, 10.395136778115502)	(2.0, 2.310030395136778)	(3.0, 2.188449848024316)	(4.0, 0.24316109422492402)	(5.0, 0.60790273556231)	(6.0, 0.729483282674772)	(7.0, 0.0)	(8.0, 0.9726443768996961)	(9.0, 0.547112462006079)	('>10', 16.717325227963524)	('>50', 4.316109422492401)	('>100', 27.35562310030395)	('>500', 33.61702127659574)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-54_S23.R1	(1.0, 11.428571428571429)	(2.0, 2.797619047619048)	(3.0, 1.4285714285714286)	(4.0, 1.3095238095238095)	(5.0, 1.0416666666666665)	(6.0, 0.7142857142857143)	(7.0, 0.20833333333333334)	(8.0, 0.4761904761904762)	(9.0, 0.8035714285714285)	('>10', 15.267857142857144)	('>50', 5.416666666666667)	('>100', 25.148809523809522)	('>500', 33.958333333333336)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-54_S23.R2	(1.0, 14.017857142857142)	(2.0, 3.273809523809524)	(3.0, 1.607142857142857)	(4.0, 1.1904761904761905)	(5.0, 0.744047619047619)	(6.0, 0.35714285714285715)	(7.0, 0.20833333333333334)	(8.0, 0.7142857142857143)	(9.0, 1.3392857142857142)	('>10', 16.845238095238095)	('>50', 5.386904761904762)	('>100', 22.886904761904763)	('>500', 31.428571428571427)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-56_S24.R1	(1.0, 6.048962564496652)	(2.0, 2.810407289493907)	(3.0, 1.0209682731364584)	(4.0, 1.0978153474585575)	(5.0, 0.6586892084751345)	(6.0, 0.724558129322648)	(7.0, 0.5379295202546932)	(8.0, 0.7904270501701613)	(9.0, 0.49401690635635087)	('>10', 6.960149302887254)	('>50', 6.850367768141398)	('>100', 42.189043802832366)	('>500', 29.81666483697442)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-56_S24.R2	(1.0, 11.570973762213196)	(2.0, 2.634756833900538)	(3.0, 1.449116258645296)	(4.0, 1.0099901196618728)	(5.0, 0.5489076737292787)	(6.0, 0.592820287627621)	(7.0, 0.6147765945767922)	(8.0, 0.7026018223734768)	(9.0, 0.2964101438138105)	('>10', 7.498078823141947)	('>50', 7.004061916785596)	('>100', 34.548248984520804)	('>500', 31.529256779009774)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-61_S25.R1	(1.0, 6.331417624521072)	(2.0, 2.490421455938697)	(3.0, 1.4080459770114941)	(4.0, 0.9195402298850575)	(5.0, 0.7183908045977011)	(6.0, 0.5172413793103449)	(7.0, 0.46934865900383144)	(8.0, 0.38314176245210724)	(9.0, 0.3448275862068966)	('>10', 11.446360153256704)	('>50', 4.157088122605364)	('>100', 32.4712643678161)	('>500', 27.260536398467433)	('>1k', 11.082375478927203)	('>5k', 0.0)	('>10k+', 0.0)
Gl-61_S25.R2	(1.0, 11.954022988505747)	(2.0, 3.3333333333333335)	(3.0, 1.6666666666666667)	(4.0, 1.0727969348659003)	(5.0, 0.8620689655172413)	(6.0, 0.5172413793103449)	(7.0, 0.40229885057471265)	(8.0, 0.9195402298850575)	(9.0, 0.5172413793103449)	('>10', 8.898467432950191)	('>50', 6.235632183908046)	('>100', 33.90804597701149)	('>500', 29.712643678160923)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-62_S26.R1	(1.0, 6.595653109533033)	(2.0, 1.6139444803098775)	(3.0, 0.8715300193673339)	(4.0, 1.0329244673983213)	(5.0, 0.6455777921239509)	(6.0, 0.7101355713363461)	(7.0, 0.7531740908112761)	(8.0, 0.25823111684958033)	(9.0, 0.48418334409296315)	('>10', 9.382397245534754)	('>50', 6.617172369270497)	('>100', 47.52528513019152)	('>500', 23.509791263180546)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-62_S26.R2	(1.0, 10.748870238863784)	(2.0, 2.4531956100710137)	(3.0, 1.3879922530664945)	(4.0, 0.8607703894986012)	(5.0, 0.6455777921239509)	(6.0, 0.7101355713363461)	(7.0, 0.22595222724338285)	(8.0, 0.8607703894986012)	(9.0, 0.8715300193673339)	('>10', 8.919733161179256)	('>50', 8.3387131482677)	('>100', 36.59350118355928)	('>500', 27.38325801592425)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-63_S27.R1	(1.0, 15.917503966155474)	(2.0, 4.970914859862507)	(3.0, 3.0142781597038604)	(4.0, 1.269169751454257)	(5.0, 2.379693283976732)	(6.0, 1.269169751454257)	(7.0, 1.4806980433633)	(8.0, 2.1152829190904283)	(9.0, 2.379693283976732)	('>10', 26.38815441565309)	('>50', 3.4902168164992067)	('>100', 35.32522474881015)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-63_S27.R2	(1.0, 20.25383395029085)	(2.0, 4.019037546271814)	(3.0, 2.22104706504495)	(4.0, 3.172924378635643)	(5.0, 1.5864621893178215)	(6.0, 0.6345848757271285)	(7.0, 1.8508725542041249)	(8.0, 0.8461131676361713)	(9.0, 0.47593865679534636)	('>10', 26.705446853516655)	('>50', 3.860391327340032)	('>100', 34.37334743521946)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-64_S28.R1	(1.0, 7.0978682170542635)	(2.0, 1.8410852713178296)	(3.0, 1.308139534883721)	(4.0, 1.4534883720930232)	(5.0, 0.8478682170542635)	(6.0, 0.436046511627907)	(7.0, 0.8478682170542635)	(8.0, 0.3875968992248062)	(9.0, 0.2180232558139535)	('>10', 8.11531007751938)	('>50', 8.551356589147288)	('>100', 68.8953488372093)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-64_S28.R2	(1.0, 13.323643410852712)	(2.0, 1.8410852713178296)	(3.0, 1.308139534883721)	(4.0, 0.6782945736434108)	(5.0, 1.4534883720930232)	(6.0, 0.872093023255814)	(7.0, 0.5087209302325582)	(8.0, 0.0)	(9.0, 0.2180232558139535)	('>10', 10.247093023255815)	('>50', 8.842054263565892)	('>100', 48.037790697674424)	('>500', 12.669573643410853)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-66_S29.R1	(1.0, 5.889061217042241)	(2.0, 1.9706231183286196)	(3.0, 1.1221603868260195)	(4.0, 0.8028464556153636)	(5.0, 0.6842441383085485)	(6.0, 0.4926557795821549)	(7.0, 0.5747650761791807)	(8.0, 0.32843718638810326)	(9.0, 0.20527324149256454)	('>10', 6.559620472584618)	('>50', 5.332542651217954)	('>100', 37.28674391022717)	('>500', 32.889334914697564)	('>1k', 5.861691451509899)	('>5k', 0.0)	('>10k+', 0.0)
Gl-66_S29.R2	(1.0, 10.966152723291671)	(2.0, 2.6183742359273787)	(3.0, 1.710610345771371)	(4.0, 0.8940790073898367)	(5.0, 0.8439011039138765)	(6.0, 0.46528601404981296)	(7.0, 0.35124532433172156)	(8.0, 0.437916248517471)	(9.0, 0.12316394489553872)	('>10', 6.130827479244594)	('>50', 6.34978560350333)	('>100', 30.544658334093604)	('>500', 28.177173615546025)	('>1k', 10.386826019523767)	('>5k', 0.0)	('>10k+', 0.0)
Gl-67_S30.R1	(1.0, 17.442834909613314)	(2.0, 3.830958936908895)	(3.0, 2.334490602178858)	(4.0, 1.4844965880521968)	(5.0, 1.6760445348976416)	(6.0, 0.5028133604692925)	(7.0, 1.089428947683467)	(8.0, 1.0535137076499461)	(9.0, 1.1852029211061894)	('>10', 18.005507003471806)	('>50', 9.038668741769424)	('>100', 42.356039746198974)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-67_S30.R2	(1.0, 22.93786663474201)	(2.0, 3.830958936908895)	(3.0, 2.226744882078295)	(4.0, 1.4366096013408356)	(5.0, 1.4366096013408356)	(6.0, 1.0774572010056267)	(7.0, 1.089428947683467)	(8.0, 1.1492876810726684)	(9.0, 1.1852029211061894)	('>10', 19.32239913803424)	('>50', 4.525320244223632)	('>100', 39.782114210463305)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-69_S31.R1	(1.0, 5.015279525435916)	(2.0, 1.8575109353466357)	(3.0, 1.0785547366528851)	(4.0, 0.5991970759182695)	(5.0, 0.5093175145305291)	(6.0, 0.3954700701060579)	(7.0, 0.16777518125711546)	(8.0, 0.3355503625142309)	(9.0, 0.21571094733057705)	('>10', 7.35814009227635)	('>50', 7.717658337827311)	('>100', 26.202888129905926)	('>500', 19.875367008209)	('>1k', 28.671580082689196)	('>5k', 0.0)	('>10k+', 0.0)
Gl-69_S31.R2	(1.0, 10.168374378333034)	(2.0, 2.360836479117982)	(3.0, 1.4021211576487507)	(4.0, 1.198394151836539)	(5.0, 0.4493978069387021)	(6.0, 0.5392773683264426)	(7.0, 0.3355503625142309)	(8.0, 0.3834861285876925)	(9.0, 0.5392773683264426)	('>10', 7.292228413925341)	('>50', 7.561867098088561)	('>100', 17.826113008568516)	('>500', 21.996524656959675)	('>1k', 27.946551620828092)	('>5k', 0.0)	('>10k+', 0.0)
Gl-70_S32.R1	(1.0, 4.200888649522015)	(2.0, 1.6965127238454287)	(3.0, 0.9290426821058301)	(4.0, 0.6283380458686774)	(5.0, 0.49369417889681794)	(6.0, 0.43086037430995017)	(7.0, 0.3770028275212064)	(8.0, 0.1436201247699834)	(9.0, 0.3635384408240205)	('>10', 6.7277052196939096)	('>50', 4.856155468785063)	('>100', 18.746914411381894)	('>500', 28.858668820968536)	('>1k', 31.547058031506666)	('>5k', 0.0)	('>10k+', 0.0)
Gl-70_S32.R2	(1.0, 10.116242538485706)	(2.0, 2.4774471522822137)	(3.0, 1.2656523495354786)	(4.0, 1.2387235761411068)	(5.0, 0.6732193348592972)	(6.0, 0.700148108253669)	(7.0, 0.47125353440150797)	(8.0, 0.3231452807324626)	(9.0, 0.1615726403662313)	('>10', 6.310309232081146)	('>50', 4.0976616848435885)	('>100', 22.552847717786456)	('>500', 12.809119877922894)	('>1k', 36.80265697230824)	('>5k', 0.0)	('>10k+', 0.0)
Gl-71_S33.R1	(1.0, 6.145536822129771)	(2.0, 1.7954893803372018)	(3.0, 0.9196409021239326)	(4.0, 0.6130939347492883)	(5.0, 0.5838989854755127)	(6.0, 0.5255090869279615)	(7.0, 0.7152762572075031)	(8.0, 0.46711918838041017)	(9.0, 0.5255090869279615)	('>10', 8.656302459674476)	('>50', 8.838770892635575)	('>100', 53.60192686665207)	('>500', 16.611926136778337)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-71_S33.R2	(1.0, 12.21078753375666)	(2.0, 2.6129479600029195)	(3.0, 1.3356689292752353)	(4.0, 0.5838989854755127)	(5.0, 0.7663674184366105)	(6.0, 0.5693015108386249)	(7.0, 0.30654696737464415)	(8.0, 0.29194949273775633)	(9.0, 0.5255090869279615)	('>10', 10.218232245821472)	('>50', 7.999416101014524)	('>100', 44.18655572585943)	('>500', 18.392818042478652)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-72_S34.R1	(1.0, 4.189696012633242)	(2.0, 1.8851164626924595)	(3.0, 1.3176075799447295)	(4.0, 0.8685353335965259)	(5.0, 0.5675088827477299)	(6.0, 0.44413738649822343)	(7.0, 0.2763521515988946)	(8.0, 0.3947887879984209)	(9.0, 0.26648243189893406)	('>10', 5.132254243979471)	('>50', 2.166403474141334)	('>100', 27.26016581129096)	('>500', 22.843466245558627)	('>1k', 32.38748519542045)	('>5k', 0.0)	('>10k+', 0.0)
Gl-72_S34.R2	(1.0, 10.210225029609159)	(2.0, 2.8326095538886693)	(3.0, 1.9245953414923016)	(4.0, 0.9869719699960521)	(5.0, 0.8389261744966443)	(6.0, 0.5033557046979865)	(7.0, 0.3799842084484801)	(8.0, 0.35530990919857874)	(9.0, 0.3108961705487564)	('>10', 6.484405842874062)	('>50', 1.2978681405448085)	('>100', 26.618634030793526)	('>500', 10.674101855507304)	('>1k', 36.58211606790367)	('>5k', 0.0)	('>10k+', 0.0)
Gl-73_S35.R1	(1.0, 3.9131543167912985)	(2.0, 1.8014955812372537)	(3.0, 1.0834466349422163)	(4.0, 0.7817811012916385)	(5.0, 0.6585656016315431)	(6.0, 0.45887151597552683)	(7.0, 0.3569000679809653)	(8.0, 0.4758667573079538)	(9.0, 0.34415363698164514)	('>10', 4.597212780421482)	('>50', 2.2433718558803535)	('>100', 19.591264445955133)	('>500', 27.782970768184907)	('>1k', 35.91094493541808)	('>5k', 0.0)	('>10k+', 0.0)
Gl-73_S35.R2	(1.0, 9.011726716519375)	(2.0, 2.515295717199184)	(3.0, 1.6442895989123048)	(4.0, 1.1726716519374574)	(5.0, 0.913494221617947)	(6.0, 0.3823929299796057)	(7.0, 0.26767505098572403)	(8.0, 0.3399048266485384)	(9.0, 0.30591434398368456)	('>10', 5.61267845003399)	('>50', 1.6825288919102652)	('>100', 23.126274643099933)	('>500', 15.81407205982325)	('>1k', 37.211080897348744)	('>5k', 0.0)	('>10k+', 0.0)
Gl-75_S36.R1	(1.0, 3.2952322108948615)	(2.0, 1.4691243606906257)	(3.0, 0.7826176500875297)	(4.0, 0.535475234270415)	(5.0, 0.4119040263618577)	(6.0, 0.2883328184533004)	(7.0, 0.24027734871108364)	(8.0, 0.2471424158171146)	(9.0, 0.18535681186283595)	('>10', 3.5320770260529293)	('>50', 2.3100950811794188)	('>100', 21.020835478666804)	('>500', 14.828544949026876)	('>1k', 4.46572615247314)	('>5k', 46.38725843545121)	('>10k+', 0.0)
Gl-75_S36.R2	(1.0, 6.847904438265884)	(2.0, 1.8672982528404214)	(3.0, 1.1945216764493873)	(4.0, 0.8649984553599012)	(5.0, 0.6178560395427866)	(6.0, 0.6178560395427866)	(7.0, 0.31236055332440876)	(8.0, 0.46682456321010535)	(9.0, 0.2162496138399753)	('>10', 4.191123468231902)	('>50', 2.385610819345759)	('>100', 19.150104692273366)	('>500', 10.222084920880102)	('>1k', 8.018398379844163)	('>5k', 43.02680808704905)	('>10k+', 0.0)
Gl-79_S37.R1	(1.0, 5.025125628140704)	(2.0, 2.1552205471803463)	(3.0, 1.407035175879397)	(4.0, 0.9156895589056394)	(5.0, 1.0050251256281406)	(6.0, 0.5695142378559465)	(7.0, 0.3126744835287549)	(8.0, 0.4020100502512563)	(9.0, 0.7035175879396985)	('>10', 7.426018983807929)	('>50', 2.1049692908989392)	('>100', 26.638749302065882)	('>500', 22.261306532663315)	('>1k', 29.07314349525405)	('>5k', 0.0)	('>10k+', 0.0)
Gl-79_S37.R2	(1.0, 9.826912339475154)	(2.0, 2.8587381351200447)	(3.0, 1.8592964824120601)	(4.0, 1.3623673925181463)	(5.0, 0.7816862088218872)	(6.0, 0.7705192629815745)	(7.0, 0.42992741485203795)	(8.0, 0.446677833612507)	(9.0, 0.7035175879396985)	('>10', 6.393076493579006)	('>50', 3.6348408710217757)	('>100', 16.560580681183694)	('>500', 17.72752652149637)	('>1k', 36.64433277498604)	('>5k', 0.0)	('>10k+', 0.0)
Gl-7_S1.R1	(1.0, 4.774229074889868)	(2.0, 2.059471365638766)	(3.0, 1.172907488986784)	(4.0, 0.9251101321585903)	(5.0, 0.6332599118942731)	(6.0, 0.29735682819383263)	(7.0, 0.46255506607929514)	(8.0, 0.22026431718061676)	(9.0, 0.14867841409691632)	('>10', 6.547356828193833)	('>50', 0.776431718061674)	('>100', 24.12444933920705)	('>500', 35.70484581497798)	('>1k', 22.15308370044053)	('>5k', 0.0)	('>10k+', 0.0)
Gl-7_S1.R2	(1.0, 9.972466960352424)	(2.0, 2.8303964757709252)	(3.0, 1.751101321585903)	(4.0, 1.1674008810572687)	(5.0, 0.6607929515418502)	(6.0, 0.4295154185022026)	(7.0, 0.46255506607929514)	(8.0, 0.30837004405286345)	(9.0, 0.24779735682819384)	('>10', 5.600220264317181)	('>50', 2.4174008810572687)	('>100', 22.8579295154185)	('>500', 14.28964757709251)	('>1k', 37.00440528634361)	('>5k', 0.0)	('>10k+', 0.0)
Gl-80_S38.R1	(1.0, 3.683319220999153)	(2.0, 1.7005362686988428)	(3.0, 1.1430990685859441)	(4.0, 0.91730172170477)	(5.0, 0.7056167090036692)	(6.0, 0.6350550381033023)	(7.0, 0.5680214507479537)	(8.0, 0.1693480101608806)	(9.0, 0.22226926333615582)	('>10', 4.226644086931978)	('>50', 2.3814563928873835)	('>100', 16.843070843917584)	('>500', 20.11713237369461)	('>1k', 46.68712955122778)	('>5k', 0.0)	('>10k+', 0.0)
Gl-80_S38.R2	(1.0, 8.181625740897545)	(2.0, 2.3214789726220717)	(3.0, 1.6934801016088061)	(4.0, 1.1572114027660174)	(5.0, 0.6879762912785775)	(6.0, 0.6562235393734124)	(7.0, 0.49393169630256845)	(8.0, 0.31047135196161446)	(9.0, 0.4127857747671465)	('>10', 4.50183460344341)	('>50', 3.429297205757832)	('>100', 17.51340671747107)	('>500', 9.374117979113745)	('>1k', 49.26615862263618)	('>5k', 0.0)	('>10k+', 0.0)
Gl-85_S39.R1	(1.0, 2.568931978880415)	(2.0, 0.988050761107852)	(3.0, 0.8058789020285917)	(4.0, 0.4816747460400778)	(5.0, 0.46314879426930555)	(6.0, 0.44462284249853334)	(7.0, 0.32420415598851393)	(8.0, 0.22231142124926667)	(9.0, 0.13894463828079168)	('>10', 4.159076172538364)	('>50', 2.1088708432395715)	('>100', 22.299070614752832)	('>500', 2.6800876895050485)	('>1k', 0.0)	('>5k', 22.604748818970574)	('>10k+', 39.71037762065026)
Gl-85_S39.R2	(1.0, 6.474820143884892)	(2.0, 1.5314786797171704)	(3.0, 0.83366782968475)	(4.0, 0.6422329947201038)	(5.0, 0.6484083119770279)	(6.0, 0.5557785531231667)	(7.0, 0.3458177663877482)	(8.0, 0.494025380553926)	(9.0, 0.3056782042177417)	('>10', 5.601012752030136)	('>50', 3.8225213820360024)	('>100', 15.120264303578596)	('>500', 6.814462593015716)	('>1k', 0.0)	('>5k', 19.970976008892457)	('>10k+', 36.838855096180566)
Gl-86_S40.R1	(1.0, 17.058222676200206)	(2.0, 5.583929179434797)	(3.0, 2.0429009193054135)	(4.0, 2.3152877085461356)	(5.0, 1.7024174327545116)	(6.0, 2.4514811031664965)	(7.0, 0.9533537623425264)	(8.0, 1.906707524685053)	(9.0, 0.9193054136874361)	('>10', 20.667347633639768)	('>50', 18.147769833163093)	('>100', 26.251276813074565)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-86_S40.R2	(1.0, 21.586653047327204)	(2.0, 5.583929179434797)	(3.0, 2.247191011235955)	(4.0, 2.723867892407218)	(5.0, 1.0214504596527068)	(6.0, 0.40858018386108275)	(7.0, 0.4766768811712632)	(8.0, 0.8171603677221655)	(9.0, 1.5321756894790604)	('>10', 19.169220292815798)	('>50', 18.726591760299627)	('>100', 25.70650323459312)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-88_S41.R1	(1.0, 8.030812820966885)	(2.0, 2.7271117407472993)	(3.0, 1.4078271648663008)	(4.0, 1.0270940322295024)	(5.0, 0.7526120063750664)	(6.0, 0.8500088542588985)	(7.0, 0.49583849831769083)	(8.0, 0.9208429254471401)	(9.0, 0.23906499026031522)	('>10', 14.760049583849833)	('>50', 6.463608995927041)	('>100', 35.19567912165752)	('>500', 6.1625641933770146)	('>1k', 20.966885071719496)	('>5k', 0.0)	('>10k+', 0.0)
Gl-88_S41.R2	(1.0, 14.025146095271825)	(2.0, 3.3292013458473524)	(3.0, 1.6203293784310253)	(4.0, 1.558349566141314)	(5.0, 0.7968833008677173)	(6.0, 0.637506640694174)	(7.0, 0.7437577474765362)	(8.0, 0.637506640694174)	(9.0, 0.318753320347087)	('>10', 14.751195324951302)	('>50', 5.383389410306357)	('>100', 33.49566141313972)	('>500', 13.343368160085001)	('>1k', 9.358951655746415)	('>5k', 0.0)	('>10k+', 0.0)
I10_S77.R1	(1.0, 3.6847730124064864)	(2.0, 1.9144091817294733)	(3.0, 1.0594303238697085)	(4.0, 0.8549788578597648)	(5.0, 0.5808280284373403)	(6.0, 0.27879745364992337)	(7.0, 0.2927373263324195)	(8.0, 0.14869197527995912)	(9.0, 0.167278472189954)	('>10', 5.222805631708564)	('>50', 1.89117606059198)	('>100', 20.62636494586683)	('>500', 11.421402351191858)	('>1k', 51.85632637888574)	('>5k', 0.0)	('>10k+', 0.0)
I10_S77.R2	(1.0, 8.786766414200084)	(2.0, 2.360485107569351)	(3.0, 1.4636866316620973)	(4.0, 1.338227777519632)	(5.0, 0.8828586032247572)	(6.0, 0.585474652664839)	(7.0, 0.39031643510989267)	(8.0, 0.1858649690999489)	(9.0, 0.334556944379908)	('>10', 5.334324613168533)	('>50', 2.862320524139213)	('>100', 14.590400074345988)	('>500', 18.284466335207473)	('>1k', 42.60025091770828)	('>5k', 0.0)	('>10k+', 0.0)
I111_S52.R1	(1.0, 5.328166626301768)	(2.0, 3.196899975781061)	(3.0, 1.9132961976265441)	(4.0, 1.6468878663114555)	(5.0, 1.2109469605231291)	(6.0, 0.7750060547348026)	(7.0, 0.39557600710422214)	(8.0, 0.32291918947283443)	(9.0, 0.5085977234197142)	('>10', 8.048760797610397)	('>50', 7.451360297085655)	('>100', 4.0768547670945345)	('>500', 0.0)	('>1k', 65.12472753693388)	('>5k', 0.0)	('>10k+', 0.0)
I111_S52.R2	(1.0, 10.026640833131509)	(2.0, 3.3906514894647612)	(3.0, 2.3492371034148705)	(4.0, 2.195850488415274)	(5.0, 1.2513118592072334)	(6.0, 1.6468878663114555)	(7.0, 0.8476628723661903)	(8.0, 0.9041737305239365)	(9.0, 0.9445386292080407)	('>10', 11.269879712601922)	('>50', 4.59352547025107)	('>100', 4.916444659723904)	('>500', 0.0)	('>1k', 55.66319528537983)	('>5k', 0.0)	('>10k+', 0.0)
I113_S59.R1	(1.0, 1.8439872373198372)	(2.0, 0.7525580371878094)	(3.0, 0.48190119925184294)	(4.0, 0.41368687424359113)	(5.0, 0.30806469358565297)	(6.0, 0.3300693145560568)	(7.0, 0.23104852018923974)	(8.0, 0.31686654197381453)	(9.0, 0.11882495324018044)	('>10', 3.734184178677522)	('>50', 1.9804158873363404)	('>100', 11.063923423919023)	('>500', 8.302343492133348)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 70.12212564638574)
I113_S59.R2	(1.0, 4.739795357024975)	(2.0, 1.0298162614148971)	(3.0, 0.6271316976565079)	(4.0, 0.4488942677962372)	(5.0, 0.4400924194080757)	(6.0, 0.31686654197381453)	(7.0, 0.33887116294421826)	(8.0, 0.42248872263175263)	(9.0, 0.3366707008471779)	('>10', 5.437341841786775)	('>50', 2.123445923643965)	('>100', 13.84090659038398)	('>500', 4.086258114203982)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 65.81142039828364)
I117_S53.R1	(1.0, 1.6812459995732876)	(2.0, 0.5333902282910177)	(3.0, 0.33923618519308724)	(4.0, 0.40964369532750167)	(5.0, 0.22402389588222746)	(6.0, 0.2944314060166418)	(7.0, 0.3883080861958609)	(8.0, 0.17068487305312569)	(9.0, 0.21122253040324301)	('>10', 4.4335395775549395)	('>50', 1.6684446340943033)	('>100', 7.727757627480264)	('>500', 3.161937273309153)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 78.75613398762535)
