Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Gl-124_S46.R1	(1.0, 3.9206265314947393)	(2.0, 1.7489069331667706)	(3.0, 0.9945707010041801)	(4.0, 0.768750300293086)	(5.0, 0.26425791572574836)	(6.0, 0.2882813626099073)	(7.0, 0.3026954307404026)	(8.0, 0.30750012011723443)	(9.0, 0.25945322634891654)	('>10', 4.766251861817134)	('>50', 2.2245711814731175)	('>100', 18.555710373324363)	('>500', 22.019891414020083)	('>1k', 43.578532647864314)	('>5k', 0.0)	('>10k+', 0.0)
Gl-124_S46.R2	(1.0, 9.657425647431893)	(2.0, 2.6521885360111472)	(3.0, 1.4846490174410225)	(4.0, 0.9993753903810119)	(5.0, 0.768750300293086)	(6.0, 0.6053908614808052)	(7.0, 0.36996108201604766)	(8.0, 0.1921875750732715)	(9.0, 0.17296881756594437)	('>10', 4.775861240570797)	('>50', 2.9116417623600634)	('>100', 15.240474703310431)	('>500', 14.6158650843223)	('>1k', 45.55325998174218)	('>5k', 0.0)	('>10k+', 0.0)
Gl-125_S47.R1	(1.0, 2.8347693134155665)	(2.0, 1.3264736874728817)	(3.0, 0.9607636521415731)	(4.0, 0.8181987231141139)	(5.0, 0.4752164300915308)	(6.0, 0.45868716295791234)	(7.0, 0.39050393603173617)	(8.0, 0.2809975412715139)	(9.0, 0.26033595735449083)	('>10', 4.004214963119073)	('>50', 2.2851711812227524)	('>100', 9.617967313374242)	('>500', 9.000185954255253)	('>1k', 56.45157957809046)	('>5k', 10.834934606086904)	('>10k+', 0.0)
Gl-125_S47.R2	(1.0, 7.308002231451064)	(2.0, 1.7355730490299388)	(3.0, 1.3202752122977748)	(4.0, 1.066137730118391)	(5.0, 0.7438170210128308)	(6.0, 0.7686109217132585)	(7.0, 0.5062088059670654)	(8.0, 0.5619950825430278)	(9.0, 0.33471765945577386)	('>10', 4.231492386206327)	('>50', 2.3450897745821195)	('>100', 10.432033719704952)	('>500', 9.65929048120829)	('>1k', 48.20347527841484)	('>5k', 10.783280646294346)	('>10k+', 0.0)
Gl-14_S2.R1	(1.0, 23.141186299081035)	(2.0, 6.7669172932330826)	(3.0, 3.508771929824561)	(4.0, 2.8404344193817876)	(5.0, 2.297410192147034)	(6.0, 2.2556390977443606)	(7.0, 3.508771929824561)	(8.0, 2.0050125313283207)	(9.0, 2.2556390977443606)	('>10', 26.065162907268167)	('>50', 0.0)	('>100', 25.355054302422726)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-14_S2.R2	(1.0, 27.77777777777778)	(2.0, 5.597326649958228)	(3.0, 3.007518796992481)	(4.0, 3.341687552213868)	(5.0, 2.297410192147034)	(6.0, 2.0050125313283207)	(7.0, 1.7543859649122806)	(8.0, 0.3341687552213868)	(9.0, 0.7518796992481203)	('>10', 24.81203007518797)	('>50', 0.0)	('>100', 28.32080200501253)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-15_S3.R1	(1.0, 26.792031279091415)	(2.0, 6.963321541612362)	(3.0, 3.9098864271085456)	(4.0, 2.085272761124558)	(5.0, 3.165146155278346)	(6.0, 2.3459318562651275)	(7.0, 1.5639545708434184)	(8.0, 1.3405324892943584)	(9.0, 1.5080990504561533)	('>10', 14.112828151182274)	('>50', 13.79631353565444)	('>100', 22.416682182088994)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-15_S3.R2	(1.0, 28.85868553342022)	(2.0, 7.633587786259542)	(3.0, 3.5747533047849562)	(4.0, 2.904487060137777)	(5.0, 2.420405883448147)	(6.0, 2.457642897039657)	(7.0, 1.042636380562279)	(8.0, 1.042636380562279)	(9.0, 0.837832805808974)	('>10', 16.98007819772854)	('>50', 9.476819959039286)	('>100', 22.770433811208342)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-16_S4.R1	(1.0, 25.251004016064254)	(2.0, 5.321285140562249)	(3.0, 3.614457831325301)	(4.0, 1.8072289156626504)	(5.0, 3.2630522088353415)	(6.0, 2.108433734939759)	(7.0, 1.7570281124497993)	(8.0, 0.8032128514056224)	(9.0, 1.355421686746988)	('>10', 17.520080321285143)	('>50', 0.0)	('>100', 37.1987951807229)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Gl-16_S4.R2	(1.0, 28.012048192771083)	(2.0, 7.028112449799197)	(3.0, 2.710843373493976)	(4.0, 2.8112449799196786)	(5.0, 1.2550200803212852)	(6.0, 1.5060240963855422)	(7.0, 2.108433734939759)	(8.0, 0.8032128514056224)	(9.0, 0.0)	('>10', 16.265060240963855)	('>50', 0.0)	('>100', 37.5)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
